"player","Opponent","location","Date","gs","min","fg","fg_att","fg_pct","threes","threes_att","threes_pct","ft","ft_att","ft_pct","off","def","tot","reb_avg","pf","fo","ast","turn_overs","blk","stl","pts","avg"
"DUPITON-Olivier","PHILADELPHIA","neutral","11/19/10","yes","17","0","1",".000","0","0",".000","2","2","1.000","0","1","1","1.0","4","0","0","0","0","0","2","2.0"
"DUPITON-Olivier","NYACK","neutral","11/20/10","yes","14","1","6",".167","0","0",".000","2","2","1.000","3","4","7","4.0","4","0","0","1","0","0","4","3.0"
"DUPITON-Olivier","LAKE ERIE COLLEGE","home","11/27/10","yes","19","6","7",".857","0","0",".000","2","2","1.000","1","1","2","3.3","3","0","3","0","0","3","14","6.7"
"DUPITON-Olivier","URBANA UNIVERSITY","away","12/02/10","yes","23","3","7",".429","0","0",".000","3","5",".600","0","2","2","3.0","3","0","1","2","1","1","9","7.3"
"DUPITON-Olivier","MANSFIELD UNIV.","home","12/6/10","yes","23","5","8",".625","0","0",".000","1","3",".333","1","1","2","2.8","4","0","0","6","0","4","11","8.0"
"DUPITON-Olivier","DAVIS AND ELKINS","home","12/11/10","yes","13","2","2","1.000","0","0",".000","3","6",".500","0","0","0","2.3","3","0","1","3","0","0","7","7.8"
"DUPITON-Olivier","WASHINGTON ADVENTIST","home","12/12/10","yes","15","0","3",".000","0","0",".000","0","0",".000","0","1","1","2.1","0","0","1","4","1","2","0","6.7"
"DUPITON-Olivier","URBANA UNIV.","home","12/15/10","yes","21","2","4",".500","0","0",".000","2","2","1.000","0","4","4","2.4","3","0","1","5","0","1","6","6.6"
"DUPITON-Olivier","KUTZTOWN","away","1/3/11","yes","17","1","1","1.000","0","0",".000","1","2",".500","0","0","0","2.1","4","0","0","3","0","0","3","6.2"
"DUPITON-Olivier","ESU","away","01/04/11","yes","23","1","2",".500","0","0",".000","1","2",".500","0","1","1","2.0","4","0","1","1","2","2","3","5.9"
"DUPITON-Olivier","MANSFIELD UNIV.","home","01/08/11","yes","26","2","2","1.000","0","0",".000","1","4",".250","0","4","4","2.2","3","0","1","3","0","1","5","5.8"
"DUPITON-Olivier","BLOOMSBURG","home","1/09/11","yes","22","0","2",".000","0","0",".000","0","0",".000","2","1","3","2.3","3","0","0","3","0","4","0","5.3"
"DUPITON-Olivier","LOCK HAVEN UNIVERSITY","away","1/12/11","yes","10","4","4","1.000","0","0",".000","0","1",".000","0","3","3","2.3","4","0","0","1","0","0","8","5.5"
"DUPITON-Olivier","CALIFORNIA (PA.)","home","01/15/11","yes","25","1","2",".500","0","0",".000","0","0",".000","2","1","3","2.4","1","0","0","4","0","1","2","5.3"
