"player","Opponent","location","Date","gs","min","fg","fg_att","fg_pct","threes","threes_att","threes_pct","ft","ft_att","ft_pct","off","def","tot","reb_avg","pf","fo","ast","turn_overs","blk","stl","pts","avg"
"ELLINGTON-Keith","PHILADELPHIA","neutral","11/19/10","no","2","0","0",".000","0","0",".000","0","0",".000","0","0","0","0.0","1","0","0","1","0","0","0","0.0"
"ELLINGTON-Keith","LAKE ERIE COLLEGE","home","11/27/10","no","10","0","1",".000","0","0",".000","0","0",".000","0","0","0","0.0","4","0","1","0","0","0","0","0.0"
"ELLINGTON-Keith","MANSFIELD UNIV.","home","12/6/10","no","5","0","0",".000","0","0",".000","3","4",".750","1","1","2","0.7","0","0","0","2","0","0","3","1.0"
"ELLINGTON-Keith","DAVIS AND ELKINS","home","12/11/10","no","1","0","0",".000","0","0",".000","0","0",".000","0","0","0","0.5","1","0","0","0","0","0","0","0.8"
"ELLINGTON-Keith","WASHINGTON ADVENTIST","home","12/12/10","no","2","0","1",".000","0","0",".000","0","0",".000","0","0","0","0.4","0","0","0","0","0","0","0","0.6"
"ELLINGTON-Keith","URBANA UNIV.","home","12/15/10","no","2","1","2",".500","0","0",".000","1","2",".500","0","0","0","0.3","0","0","0","1","0","0","3","1.0"
"ELLINGTON-Keith","KUTZTOWN","away","1/3/11","no","6","0","0",".000","0","0",".000","0","1",".000","0","1","1","0.4","0","0","0","0","0","1","0","0.9"
"ELLINGTON-Keith","ESU","away","01/04/11","no","10","2","4",".500","1","2",".500","0","0",".000","0","1","1","0.5","1","0","0","0","0","0","5","1.4"
"ELLINGTON-Keith","MANSFIELD UNIV.","home","01/08/11","no","9","1","2",".500","0","0",".000","2","2","1.000","0","1","1","0.6","0","0","0","1","0","0","4","1.7"
"ELLINGTON-Keith","LOCK HAVEN UNIVERSITY","away","1/12/11","no","19","3","4",".750","1","2",".500","1","1","1.000","0","2","2","0.7","2","0","0","4","0","2","8","2.3"
"ELLINGTON-Keith","CALIFORNIA (PA.)","home","01/15/11","no","7","0","2",".000","0","1",".000","0","0",".000","0","0","0","0.6","0","0","0","1","0","0","0","2.1"
"ELLINGTON-Keith","CLARION","home","1/19/11","no","5","1","4",".250","0","1",".000","0","0",".000","0","0","0","0.6","0","0","0","0","0","0","2","2.1"
"ELLINGTON-Keith","SLIPPERY ROCK","away","1/22/11","no","1","0","1",".000","0","0",".000","0","0",".000","0","0","0","0.5","0","0","0","0","0","0","0","1.9"
"ELLINGTON-Keith","LOCK HAVEN UNIVERSITY","home","2/5/11","no","11","1","5",".200","0","1",".000","2","2","1.000","1","1","2","0.6","0","0","1","1","0","0","4","2.1"
