"player","Opponent","location","Date","gs","min","fg","fg_att","fg_pct","threes","threes_att","threes_pct","ft","ft_att","ft_pct","off","def","tot","reb_avg","pf","fo","ast","turn_overs","blk","stl","pts","avg"
"JACKSON-Shelton","PHILADELPHIA","neutral","11/19/10","yes","34","3","6",".500","1","2",".500","4","4","1.000","1","3","4","4.0","1","0","4","1","1","2","11","11.0"
"JACKSON-Shelton","NYACK","neutral","11/20/10","yes","31","3","11",".273","0","3",".000","4","6",".667","2","3","5","4.5","1","0","0","2","0","0","10","10.5"
"JACKSON-Shelton","LAKE ERIE COLLEGE","home","11/27/10","yes","26","1","5",".200","1","4",".250","2","2","1.000","1","0","1","3.3","1","0","7","2","0","1","5","8.7"
"JACKSON-Shelton","URBANA UNIVERSITY","away","12/02/10","yes","33","5","8",".625","1","4",".250","4","6",".667","1","9","10","5.0","3","0","3","2","1","3","15","10.3"
"JACKSON-Shelton","MANSFIELD UNIV.","home","12/6/10","yes","32","5","10",".500","1","5",".200","0","3",".000","1","2","3","4.6","1","0","1","2","0","2","11","10.4"
"JACKSON-Shelton","DAVIS AND ELKINS","home","12/11/10","yes","32","2","8",".250","0","4",".000","3","5",".600","2","4","6","4.8","4","0","2","4","1","1","7","9.8"
"JACKSON-Shelton","WASHINGTON ADVENTIST","home","12/12/10","yes","26","2","6",".333","2","5",".400","1","2",".500","1","1","2","4.4","3","0","1","3","2","1","7","9.4"
"JACKSON-Shelton","URBANA UNIV.","home","12/15/10","yes","28","6","10",".600","0","2",".000","1","6",".167","4","3","7","4.8","1","0","5","2","1","2","13","9.9"
"JACKSON-Shelton","KUTZTOWN","away","1/3/11","yes","29","5","7",".714","1","2",".500","2","2","1.000","0","4","4","4.7","3","0","3","3","1","3","13","10.2"
"JACKSON-Shelton","ESU","away","01/04/11","yes","37","8","12",".667","1","3",".333","6","10",".600","4","5","9","5.1","2","0","3","3","0","1","23","11.5"
"JACKSON-Shelton","MANSFIELD UNIV.","home","01/08/11","yes","31","4","7",".571","1","2",".500","9","11",".818","7","0","7","5.3","2","0","0","2","2","2","18","12.1"
"JACKSON-Shelton","BLOOMSBURG","home","1/09/11","yes","29","4","7",".571","0","1",".000","7","9",".778","3","2","5","5.3","3","0","2","1","2","1","15","12.3"
"JACKSON-Shelton","LOCK HAVEN UNIVERSITY","away","1/12/11","yes","27","5","8",".625","1","2",".500","3","5",".600","0","3","3","5.1","3","0","3","3","0","1","14","12.5"
"JACKSON-Shelton","CALIFORNIA (PA.)","home","01/15/11","yes","26","2","6",".333","0","3",".000","1","2",".500","1","2","3","4.9","2","0","0","1","0","3","5","11.9"
"JACKSON-Shelton","CLARION","home","1/19/11","yes","39","7","12",".583","4","5",".800","1","2",".500","3","7","10","5.3","4","0","3","4","0","1","19","12.4"
"JACKSON-Shelton","SLIPPERY ROCK","away","1/22/11","yes","28","3","7",".429","1","2",".500","2","3",".667","1","5","6","5.3","1","0","6","0","0","4","9","12.2"
"JACKSON-Shelton","GANNON UNIVERSITY","away","1/26/11","yes","35","5","11",".455","1","2",".500","7","8",".875","7","3","10","5.6","4","0","4","3","1","0","18","12.5"
"JACKSON-Shelton","INDIANA (PA.) UNIV.","home","1/29/11","yes","32","3","7",".429","2","4",".500","6","7",".857","0","1","1","5.3","3","0","2","1","0","2","14","12.6"
"JACKSON-Shelton","EDINBORO UNIVERSITY","home","02/02/11","yes","20","2","8",".250","1","5",".200","5","5","1.000","4","5","9","5.5","3","0","3","4","1","1","10","12.5"
"JACKSON-Shelton","LOCK HAVEN UNIVERSITY","home","2/5/11","yes","23","3","6",".500","1","2",".500","6","6","1.000","1","12","13","5.9","2","0","7","1","0","0","13","12.5"
"JACKSON-Shelton","CLARION","away","2/9/11","yes","33","6","14",".429","4","7",".571","4","6",".667","3","3","6","5.9","2","0","0","0","0","1","20","12.9"
"JACKSON-Shelton","CALIFORNIA (PA.)","away","02/12/11","yes","32","5","13",".385","0","6",".000","3","3","1.000","1","4","5","5.9","0","0","1","4","0","0","13","12.9"
"JACKSON-Shelton","SLIPPERY ROCK","home","02/19/11","yes","29","9","16",".563","5","9",".556","6","8",".750","2","2","4","5.8","5","1","0","3","0","1","29","13.6"
"JACKSON-Shelton","EDINBORO","away","02/23/11","yes","34","5","12",".417","1","3",".333","3","4",".750","1","7","8","5.9","4","0","4","2","0","0","14","13.6"
"JACKSON-Shelton","INDIANA (PA.) UNIV.","away","02/26/11","yes","32","2","9",".222","0","1",".000","4","5",".800","2","2","4","5.8","3","0","1","0","0","1","8","13.4"
"JACKSON-Shelton","SLIPPERY ROCK","home","03/01/11","yes","31","2","9",".222","1","5",".200","4","6",".667","0","2","2","5.7","3","0","2","1","1","2","9","13.2"
