"player","Opponent","location","Date","gs","min","fg","fg_att","fg_pct","threes","threes_att","threes_pct","ft","ft_att","ft_pct","off","def","tot","reb_avg","pf","fo","ast","turn_overs","blk","stl","pts","avg"
"PENN-Joe","PHILADELPHIA","neutral","11/19/10","no","5","0","0",".000","0","0",".000","0","0",".000","0","1","1","1.0","0","0","1","0","0","0","0","0.0"
"PENN-Joe","NYACK","neutral","11/20/10","no","2","0","1",".000","0","1",".000","0","0",".000","0","1","1","1.0","0","0","0","0","0","0","0","0.0"
"PENN-Joe","LAKE ERIE COLLEGE","home","11/27/10","no","7","2","2","1.000","1","1","1.000","2","2","1.000","1","1","2","1.3","0","0","0","0","0","0","7","2.3"
"PENN-Joe","DAVIS AND ELKINS","home","12/11/10","no","2","0","2",".000","0","1",".000","0","0",".000","0","0","0","1.0","0","0","0","0","0","0","0","1.8"
"PENN-Joe","URBANA UNIV.","home","12/15/10","no","2","0","0",".000","0","0",".000","0","0",".000","0","0","0","0.8","0","0","1","1","0","0","0","1.4"
"PENN-Joe","KUTZTOWN","away","1/3/11","no","2","0","1",".000","0","1",".000","0","0",".000","0","0","0","0.7","0","0","0","0","0","0","0","1.2"
"PENN-Joe","MANSFIELD UNIV.","home","01/08/11","no","0","0","0",".000","0","0",".000","0","0",".000","0","0","0","0.6","0","0","1","0","0","0","0","1.0"
"PENN-Joe","BLOOMSBURG","home","1/09/11","no","3","0","1",".000","0","1",".000","0","0",".000","0","1","1","0.6","0","0","0","0","0","0","0","0.9"
"PENN-Joe","LOCK HAVEN UNIVERSITY","away","1/12/11","no","6","0","1",".000","0","1",".000","0","0",".000","0","0","0","0.6","1","0","1","1","0","1","0","0.8"
"PENN-Joe","CALIFORNIA (PA.)","home","01/15/11","no","6","0","1",".000","0","0",".000","0","0",".000","0","0","0","0.5","0","0","0","0","0","0","0","0.7"
"PENN-Joe","LOCK HAVEN UNIVERSITY","home","2/5/11","no","10","2","3",".667","1","1","1.000","0","0",".000","1","0","1","0.5","2","0","0","2","0","0","5","1.1"
"PENN-Joe","CALIFORNIA (PA.)","away","02/12/11","no","9","1","2",".500","1","2",".500","1","3",".333","0","3","3","0.8","1","0","0","0","0","0","4","1.3"
"PENN-Joe","GANNON UNIVERSITY","home","2/16/11","no","2","0","0",".000","0","0",".000","0","0",".000","0","0","0","0.7","0","0","0","0","0","0","0","1.2"
