"player","Opponent","location","Date","gs","min","fg","fg_att","fg_pct","threes","threes_att","threes_pct","ft","ft_att","ft_pct","off","def","tot","reb_avg","pf","fo","ast","turn_overs","blk","stl","pts","avg"
"RATNER-Heiden","PHILADELPHIA","neutral","11/19/10","yes","32","8","17",".471","5","9",".556","0","2",".000","0","0","0","0.0","1","0","3","1","0","3","21","21.0"
"RATNER-Heiden","NYACK","neutral","11/20/10","yes","33","7","13",".538","3","6",".500","5","5","1.000","0","6","6","3.0","3","0","3","2","0","3","22","21.5"
"RATNER-Heiden","LAKE ERIE COLLEGE","home","11/27/10","yes","26","9","16",".563","4","7",".571","2","2","1.000","1","2","3","3.0","1","0","2","2","0","1","24","22.3"
"RATNER-Heiden","URBANA UNIVERSITY","away","12/02/10","yes","36","6","13",".462","0","5",".000","0","0",".000","0","2","2","2.8","2","0","7","2","1","0","12","19.8"
"RATNER-Heiden","MANSFIELD UNIV.","home","12/6/10","yes","31","5","16",".313","3","8",".375","9","9","1.000","1","3","4","3.0","4","0","3","1","0","0","22","20.2"
"RATNER-Heiden","DAVIS AND ELKINS","home","12/11/10","yes","39","7","16",".438","6","13",".462","5","6",".833","1","4","5","3.3","2","0","5","2","0","0","25","21.0"
"RATNER-Heiden","WASHINGTON ADVENTIST","home","12/12/10","yes","37","6","13",".462","4","10",".400","7","9",".778","1","1","2","3.1","1","0","1","2","0","2","23","21.3"
"RATNER-Heiden","URBANA UNIV.","home","12/15/10","yes","33","10","18",".556","4","8",".500","2","2","1.000","1","3","4","3.3","2","0","2","0","0","0","26","21.9"
"RATNER-Heiden","KUTZTOWN","away","1/3/11","yes","30","4","14",".286","2","11",".182","5","6",".833","0","2","2","3.1","1","0","3","1","0","2","15","21.1"
"RATNER-Heiden","ESU","away","01/04/11","yes","40","8","19",".421","3","9",".333","6","9",".667","0","0","0","2.8","4","0","3","4","0","3","25","21.5"
"RATNER-Heiden","MANSFIELD UNIV.","home","01/08/11","yes","34","9","18",".500","4","10",".400","5","8",".625","0","0","0","2.5","2","0","1","2","0","1","27","22.0"
"RATNER-Heiden","BLOOMSBURG","home","1/09/11","yes","35","11","18",".611","5","10",".500","4","4","1.000","1","2","3","2.6","2","0","2","3","0","0","31","22.8"
"RATNER-Heiden","LOCK HAVEN UNIVERSITY","away","1/12/11","yes","25","7","16",".438","3","7",".429","4","4","1.000","1","3","4","2.7","2","0","2","1","0","1","21","22.6"
"RATNER-Heiden","CALIFORNIA (PA.)","home","01/15/11","yes","23","8","16",".500","2","5",".400","4","4","1.000","2","3","5","2.9","1","0","2","1","0","0","22","22.6"
"RATNER-Heiden","CLARION","home","1/19/11","yes","39","11","24",".458","7","16",".438","5","5","1.000","0","6","6","3.1","1","0","2","2","0","1","34","23.3"
"RATNER-Heiden","SLIPPERY ROCK","away","1/22/11","yes","32","8","16",".500","3","6",".500","0","0",".000","2","4","6","3.3","1","0","0","2","0","1","19","23.1"
"RATNER-Heiden","GANNON UNIVERSITY","away","1/26/11","yes","38","7","19",".368","3","12",".250","0","0",".000","0","4","4","3.3","1","0","1","3","1","2","17","22.7"
"RATNER-Heiden","INDIANA (PA.) UNIV.","home","1/29/11","yes","35","2","10",".200","0","4",".000","4","4","1.000","1","3","4","3.3","1","0","3","3","0","1","8","21.9"
"RATNER-Heiden","EDINBORO UNIVERSITY","home","02/02/11","yes","36","4","12",".333","2","8",".250","1","2",".500","2","1","3","3.3","1","0","3","2","0","1","11","21.3"
"RATNER-Heiden","LOCK HAVEN UNIVERSITY","home","2/5/11","yes","26","4","10",".400","2","6",".333","1","1","1.000","0","3","3","3.3","1","0","2","2","0","2","11","20.8"
"RATNER-Heiden","CLARION","away","2/9/11","yes","36","4","12",".333","3","9",".333","0","0",".000","1","4","5","3.4","1","0","1","3","0","1","11","20.3"
"RATNER-Heiden","CALIFORNIA (PA.)","away","02/12/11","yes","34","4","9",".444","1","4",".250","8","9",".889","1","2","3","3.4","4","0","3","2","0","1","17","20.2"
"RATNER-Heiden","GANNON UNIVERSITY","home","2/16/11","yes","34","6","20",".300","2","12",".167","0","0",".000","0","3","3","3.3","3","0","0","0","0","1","14","19.9"
"RATNER-Heiden","SLIPPERY ROCK","home","02/19/11","yes","34","4","13",".308","3","7",".429","6","7",".857","0","3","3","3.3","5","1","4","1","0","1","17","19.8"
"RATNER-Heiden","EDINBORO","away","02/23/11","yes","36","7","14",".500","5","8",".625","11","14",".786","0","4","4","3.4","2","0","1","1","0","0","30","20.2"
"RATNER-Heiden","INDIANA (PA.) UNIV.","away","02/26/11","yes","33","3","17",".176","1","8",".125","2","3",".667","1","3","4","3.4","1","0","1","2","0","2","9","19.8"
"RATNER-Heiden","SLIPPERY ROCK","home","03/01/11","yes","35","5","15",".333","1","6",".167","5","5","1.000","1","5","6","3.5","2","0","2","2","0","1","16","19.6"
