"player","Opponent","location","Date","gs","min","fg","fg_att","fg_pct","threes","threes_att","threes_pct","ft","ft_att","ft_pct","off","def","tot","reb_avg","pf","fo","ast","turn_overs","blk","stl","pts","avg"
"INGRAM-Terrence","URBANA UNIVERSITY","home","11/12/11","no","1","0","1",".000","0","1",".000","0","0",".000","0","1","1","1.0","0","0","0","0","0","0","0","0.0"
"INGRAM-Terrence","MILLERSVILLE","away","11/19/11","no","8","0","1",".000","0","1",".000","0","0",".000","0","0","0","0.5","0","0","0","0","0","0","0","0.0"
"INGRAM-Terrence","WEST CHESTER","away","11/20/11","no","12","0","0",".000","0","0",".000","2","2","1.000","1","1","2","1.0","1","0","2","1","0","0","2","0.7"
"INGRAM-Terrence","LAKE ERIE COLLEGE","away","11/27/11","no","5","0","1",".000","0","0",".000","0","0",".000","0","0","0","0.8","1","0","0","0","0","0","0","0.5"
"INGRAM-Terrence","KUTZTOWN","home","12/03/11","no","3","0","1",".000","0","1",".000","0","0",".000","0","0","0","0.6","0","0","0","1","0","1","0","0.4"
"INGRAM-Terrence","EAST STROUDSBURG","home","12/04/11","no","4","1","1","1.000","1","1","1.000","0","0",".000","0","0","0","0.5","0","0","1","0","0","0","3","0.8"
"INGRAM-Terrence","BOWIE STATE","home","12/17/11","no","2","0","1",".000","0","0",".000","0","0",".000","0","0","0","0.4","0","0","0","0","0","0","0","0.7"
"INGRAM-Terrence","WASHINGTON ADVENTIST","home","12/18/11","no","3","0","0",".000","0","0",".000","0","0",".000","1","0","1","0.5","0","0","1","0","0","0","0","0.6"
"INGRAM-Terrence","CHEYNEY","home","01/07/12","no","11","1","3",".333","1","3",".333","2","2","1.000","2","1","3","0.8","2","0","2","0","1","0","5","1.1"
"INGRAM-Terrence","CLARION","away","01/11/12","no","2","0","2",".000","0","1",".000","0","0",".000","0","0","0","0.7","0","0","0","0","0","0","0","1.0"
"INGRAM-Terrence","GANNON","home","01/18/12","no","7","2","3",".667","1","1","1.000","0","0",".000","0","0","0","0.6","1","0","0","0","0","0","5","1.4"
"INGRAM-Terrence","INDIANA (PA.)","home","01/21/12","no","19","0","3",".000","0","3",".000","3","4",".750","3","3","6","1.1","1","0","3","0","1","2","3","1.5"
"INGRAM-Terrence","EDINBORO","away","01/25/12","no","13","1","3",".333","0","2",".000","0","0",".000","0","0","0","1.0","1","0","1","1","0","0","2","1.5"
"INGRAM-Terrence","CALIFORNIA (PA.)","away","01/28/12","no","10","1","5",".200","0","0",".000","0","0",".000","1","1","2","1.1","2","0","1","2","0","0","2","1.6"
"INGRAM-Terrence","LOCK HAVEN","home","02/01/12","no","17","6","6","1.000","3","3","1.000","0","1",".000","2","1","3","1.2","0","0","3","3","0","1","15","2.5"
"INGRAM-Terrence","SLIPPERY ROCK","away","2/4/12","no","20","1","1","1.000","1","1","1.000","0","0",".000","0","1","1","1.2","3","0","2","1","0","0","3","2.5"
"INGRAM-Terrence","CLARION","home","02/08/12","no","16","4","8",".500","2","6",".333","1","1","1.000","1","2","3","1.3","0","0","2","0","0","0","11","3.0"
"INGRAM-Terrence","INDIANA (PA.)","away","02/11/12","no","11","0","1",".000","0","1",".000","0","0",".000","1","0","1","1.3","3","0","2","1","0","0","0","2.8"
"INGRAM-Terrence","GANNON","away","2/15/12","no","14","1","5",".200","1","5",".200","0","0",".000","1","4","5","1.5","0","0","1","1","0","0","3","2.8"
"INGRAM-Terrence","CALIFORNIA (PA.)","home","02/18/12","no","11","1","2",".500","0","1",".000","2","2","1.000","2","1","3","1.6","1","0","1","1","0","0","4","2.9"
"INGRAM-Terrence","EDINBORO","home","02/22/12","no","18","2","5",".400","0","2",".000","0","0",".000","0","1","1","1.5","0","0","0","0","0","0","4","3.0"
"INGRAM-Terrence","LOCK HAVEN","away","2/25/12","no","11","0","1",".000","0","0",".000","0","0",".000","0","1","1","1.5","0","0","1","1","0","1","0","2.8"
"INGRAM-Terrence","SLIPPERY ROCK","home","02/28/12","no","15","2","3",".667","2","2","1.000","0","0",".000","0","1","1","1.5","2","0","1","1","0","0","6","3.0"
"INGRAM-Terrence","EAST STROUDSBURG","neutral","03/02/12","no","5","0","0",".000","0","0",".000","0","0",".000","1","0","1","1.5","0","0","0","2","0","0","0","2.8"
