"player","Opponent","location","Date","gs","min","fg","fg_att","fg_pct","threes","threes_att","threes_pct","ft","ft_att","ft_pct","off","def","tot","reb_avg","pf","fo","ast","turn_overs","blk","stl","pts","avg"
"LEAO-Luis","KUTZTOWN","home","12/03/11","yes","24","7","12",".583","1","1","1.000","8","10",".800","3","2","5","5.0","4","0","1","2","1","1","23","23.0"
"LEAO-Luis","EAST STROUDSBURG","home","12/04/11","yes","15","2","5",".400","0","1",".000","0","0",".000","1","4","5","5.0","5","1","1","1","0","2","4","13.5"
"LEAO-Luis","MANSFIELD UNIVERSITY","away","12/09/11","yes","23","5","8",".625","0","0",".000","3","6",".500","1","3","4","4.7","3","0","2","4","1","4","13","13.3"
"LEAO-Luis","BLOOMSBURG","away","12/10/11","yes","28","7","10",".700","1","1","1.000","5","8",".625","1","7","8","5.5","2","0","2","1","2","0","20","15.0"
"LEAO-Luis","BOWIE STATE","home","12/17/11","yes","23","9","12",".750","2","2","1.000","2","2","1.000","1","3","4","5.2","1","0","1","1","0","3","22","16.4"
"LEAO-Luis","CALIFORNIA (PA.)","away","01/28/12","no","24","5","12",".417","1","1","1.000","4","6",".667","2","3","5","5.2","5","1","1","0","0","0","15","16.2"
"LEAO-Luis","LOCK HAVEN","home","02/01/12","yes","20","5","7",".714","0","0",".000","1","4",".250","1","4","5","5.1","2","0","1","0","0","2","11","15.4"
"LEAO-Luis","SLIPPERY ROCK","away","2/4/12","yes","35","11","17",".647","3","3","1.000","2","3",".667","3","7","10","5.8","5","1","4","2","1","2","27","16.9"
"LEAO-Luis","CLARION","home","02/08/12","yes","24","5","8",".625","0","1",".000","7","8",".875","3","4","7","5.9","2","0","2","1","5","2","17","16.9"
"LEAO-Luis","INDIANA (PA.)","away","02/11/12","yes","33","2","8",".250","0","1",".000","0","2",".000","0","3","3","5.6","4","0","1","3","1","2","4","15.6"
"LEAO-Luis","GANNON","away","2/15/12","yes","25","4","5",".800","0","0",".000","8","9",".889","0","2","2","5.3","4","0","3","1","0","1","16","15.6"
"LEAO-Luis","CALIFORNIA (PA.)","home","02/18/12","yes","28","5","12",".417","1","3",".333","4","6",".667","2","2","4","5.2","0","1","2","0","4","0","15","15.6"
"LEAO-Luis","LOCK HAVEN","away","2/25/12","yes","20","0","4",".000","0","1",".000","4","4","1.000","0","6","6","5.2","4","0","0","1","0","0","4","14.7"
"LEAO-Luis","SLIPPERY ROCK","home","02/28/12","yes","24","7","14",".500","2","6",".333","2","3",".667","1","1","2","5.0","3","0","2","3","0","1","18","14.9"
"LEAO-Luis","EAST STROUDSBURG","neutral","03/02/12","yes","27","7","12",".583","2","4",".500","2","2","1.000","0","10","10","5.3","4","0","0","4","1","0","18","15.1"
