"player","Opponent","location","Date","gs","min","fg","fg_att","fg_pct","threes","threes_att","threes_pct","ft","ft_att","ft_pct","off","def","tot","reb_avg","pf","fo","ast","turn_overs","blk","stl","pts","avg"
"LEE-Matt","URBANA UNIVERSITY","home","11/12/11","yes","20","4","13",".308","3","8",".375","0","0",".000","1","1","2","2.0","1","0","0","3","0","0","11","11.0"
"LEE-Matt","MILLERSVILLE","away","11/19/11","yes","31","9","14",".643","5","7",".714","0","0",".000","2","1","3","2.5","1","0","3","2","0","0","23","17.0"
"LEE-Matt","WEST CHESTER","away","11/20/11","yes","35","8","15",".533","4","8",".500","7","8",".875","0","0","0","1.7","2","0","0","2","0","1","27","20.3"
"LEE-Matt","LAKE ERIE COLLEGE","away","11/27/11","yes","23","5","13",".385","2","7",".286","2","2","1.000","1","0","1","1.5","2","0","0","4","0","0","14","18.8"
"LEE-Matt","KUTZTOWN","home","12/03/11","yes","22","4","12",".333","3","9",".333","0","0",".000","0","1","1","1.4","3","0","2","1","0","2","11","17.2"
"LEE-Matt","EAST STROUDSBURG","home","12/04/11","yes","28","6","15",".400","1","6",".167","2","2","1.000","2","1","3","1.7","4","0","1","3","0","0","15","16.8"
"LEE-Matt","MANSFIELD UNIVERSITY","away","12/09/11","yes","22","4","11",".364","2","5",".400","0","0",".000","2","3","5","2.1","1","0","2","1","0","0","10","15.9"
"LEE-Matt","BLOOMSBURG","away","12/10/11","yes","28","11","16",".688","3","7",".429","0","0",".000","1","4","5","2.5","1","0","1","3","0","1","25","17.0"
"LEE-Matt","BOWIE STATE","home","12/17/11","yes","27","9","14",".643","5","8",".625","5","6",".833","1","4","5","2.8","1","0","4","4","0","1","28","18.2"
"LEE-Matt","WASHINGTON ADVENTIST","home","12/18/11","yes","25","6","9",".667","3","4",".750","0","0",".000","3","3","6","3.1","2","0","5","4","1","1","15","17.9"
"LEE-Matt","SHIPPENSBURG","home","01/06/12","yes","33","2","14",".143","1","7",".143","0","0",".000","0","1","1","2.9","2","0","3","4","0","1","5","16.7"
"LEE-Matt","CHEYNEY","home","01/07/12","yes","22","4","9",".444","3","6",".500","0","0",".000","1","4","5","3.1","3","0","3","2","0","0","11","16.3"
"LEE-Matt","CLARION","away","01/11/12","yes","27","3","13",".231","2","5",".400","1","2",".500","2","2","4","3.2","2","0","1","1","0","1","9","15.7"
"LEE-Matt","SLIPPERY ROCK","home","01/14/12","no","20","5","16",".313","0","7",".000","5","6",".833","0","1","1","3.0","4","0","2","3","0","2","15","15.6"
"LEE-Matt","GANNON","home","01/18/12","yes","33","5","16",".313","4","10",".400","4","5",".800","2","2","4","3.1","3","0","1","1","0","1","18","15.8"
"LEE-Matt","INDIANA (PA.)","home","01/21/12","yes","29","3","10",".300","2","7",".286","0","0",".000","0","5","5","3.2","2","0","3","0","0","1","8","15.3"
"LEE-Matt","EDINBORO","away","01/25/12","yes","32","12","22",".545","5","8",".625","0","0",".000","0","7","7","3.4","1","0","0","3","0","1","29","16.1"
"LEE-Matt","CALIFORNIA (PA.)","away","01/28/12","yes","28","8","12",".667","5","7",".714","0","0",".000","0","2","2","3.3","1","0","3","0","0","1","21","16.4"
"LEE-Matt","LOCK HAVEN","home","02/01/12","no","16","3","4",".750","1","2",".500","0","0",".000","0","1","1","3.2","1","0","2","2","0","0","7","15.9"
"LEE-Matt","SLIPPERY ROCK","away","2/4/12","no","32","7","21",".333","2","7",".286","3","4",".750","2","6","8","3.5","2","0","3","1","0","1","19","16.1"
"LEE-Matt","CLARION","home","02/08/12","yes","24","5","13",".385","2","6",".333","2","2","1.000","2","3","5","3.5","1","0","0","1","0","1","14","16.0"
"LEE-Matt","INDIANA (PA.)","away","02/11/12","yes","24","5","15",".333","0","2",".000","2","2","1.000","5","2","7","3.7","4","0","1","1","1","2","12","15.8"
"LEE-Matt","GANNON","away","2/15/12","yes","34","6","15",".400","5","12",".417","0","0",".000","0","1","1","3.6","2","0","1","4","1","0","17","15.8"
"LEE-Matt","CALIFORNIA (PA.)","home","02/18/12","yes","32","2","13",".154","0","6",".000","0","0",".000","2","0","2","3.5","2","0","1","4","0","0","4","15.3"
"LEE-Matt","EDINBORO","home","02/22/12","yes","26","4","14",".286","1","8",".125","1","1","1.000","1","6","7","3.6","2","0","0","1","0","2","10","15.1"
"LEE-Matt","LOCK HAVEN","away","2/25/12","yes","39","9","18",".500","2","6",".333","12","13",".923","1","4","5","3.7","3","0","0","3","0","4","32","15.8"
"LEE-Matt","SLIPPERY ROCK","home","02/28/12","yes","29","6","16",".375","3","7",".429","4","4","1.000","1","2","3","3.7","0","0","5","2","0","1","19","15.9"
"LEE-Matt","EAST STROUDSBURG","neutral","03/02/12","yes","25","4","17",".235","1","2",".500","2","2","1.000","1","2","3","3.6","3","0","1","1","0","0","11","15.7"
