"player","Opponent","location","Date","gs","min","fg","fg_att","fg_pct","threes","threes_att","threes_pct","ft","ft_att","ft_pct","off","def","tot","reb_avg","pf","fo","ast","turn_overs","blk","stl","pts","avg"
"LIBAZS-Arnis","URBANA UNIVERSITY","home","11/12/11","no","10","0","0",".000","0","0",".000","1","2",".500","1","0","1","1.0","2","0","0","1","0","0","1","1.0"
"LIBAZS-Arnis","MILLERSVILLE","away","11/19/11","no","14","4","7",".571","0","0",".000","4","8",".500","2","2","4","2.5","5","1","0","0","0","1","12","6.5"
"LIBAZS-Arnis","WEST CHESTER","away","11/20/11","no","14","0","4",".000","0","0",".000","0","0",".000","2","1","3","2.7","3","0","0","1","0","0","0","4.3"
"LIBAZS-Arnis","LAKE ERIE COLLEGE","away","11/27/11","no","6","0","0",".000","0","0",".000","0","1",".000","0","1","1","2.3","2","0","1","1","0","0","0","3.3"
"LIBAZS-Arnis","KUTZTOWN","home","12/03/11","no","8","1","5",".200","0","1",".000","0","0",".000","1","4","5","2.8","2","0","0","1","0","1","2","3.0"
"LIBAZS-Arnis","EAST STROUDSBURG","home","12/04/11","no","8","0","0",".000","0","0",".000","0","0",".000","0","3","3","2.8","1","0","0","0","2","1","0","2.5"
"LIBAZS-Arnis","WASHINGTON ADVENTIST","home","12/18/11","no","1","0","1",".000","0","0",".000","0","0",".000","0","0","0","2.4","0","0","0","0","0","0","0","2.1"
"LIBAZS-Arnis","CHEYNEY","home","01/07/12","no","7","0","1",".000","0","1",".000","2","2","1.000","0","2","2","2.4","0","0","0","1","0","1","2","2.1"
"LIBAZS-Arnis","CLARION","away","01/11/12","no","4","1","3",".333","0","0",".000","0","0",".000","0","0","0","2.1","2","0","0","0","0","1","2","2.1"
"LIBAZS-Arnis","SLIPPERY ROCK","home","01/14/12","no","1","1","1","1.000","0","0",".000","0","0",".000","0","0","0","1.9","0","0","0","0","0","0","2","2.1"
"LIBAZS-Arnis","GANNON","home","01/18/12","no","9","1","1","1.000","0","0",".000","0","0",".000","0","2","2","1.9","2","0","0","0","0","1","2","2.1"
"LIBAZS-Arnis","INDIANA (PA.)","home","01/21/12","no","1","0","0",".000","0","0",".000","0","0",".000","0","1","1","1.8","0","0","0","0","0","0","0","1.9"
"LIBAZS-Arnis","EDINBORO","away","01/25/12","no","16","2","4",".500","1","2",".500","0","0",".000","1","2","3","1.9","2","0","1","0","1","1","5","2.2"
"LIBAZS-Arnis","CALIFORNIA (PA.)","away","01/28/12","no","2","0","0",".000","0","0",".000","0","0",".000","0","1","1","1.9","1","0","0","0","0","0","0","2.0"
"LIBAZS-Arnis","LOCK HAVEN","home","02/01/12","no","4","1","1","1.000","0","0",".000","0","0",".000","0","1","1","1.8","2","0","0","1","0","0","2","2.0"
"LIBAZS-Arnis","SLIPPERY ROCK","away","2/4/12","no","3","0","0",".000","0","0",".000","0","0",".000","0","0","0","1.7","0","0","0","1","0","0","0","1.9"
"LIBAZS-Arnis","CLARION","home","02/08/12","no","4","0","1",".000","0","0",".000","0","0",".000","0","0","0","1.6","1","0","0","0","0","1","0","1.8"
"LIBAZS-Arnis","EDINBORO","home","02/22/12","no","4","0","1",".000","0","0",".000","1","2",".500","0","0","0","1.5","3","0","0","0","0","0","1","1.7"
