"player","Opponent","location","Date","gs","min","fg","fg_att","fg_pct","threes","threes_att","threes_pct","ft","ft_att","ft_pct","off","def","tot","reb_avg","pf","fo","ast","turn_overs","blk","stl","pts","avg"
"RICKARD-Andrew","URBANA UNIVERSITY","home","11/12/11","no","22","7","12",".583","5","6",".833","0","0",".000","0","3","3","3.0","3","0","3","2","0","1","19","19.0"
"RICKARD-Andrew","MILLERSVILLE","away","11/19/11","yes","36","6","12",".500","3","7",".429","9","9","1.000","0","6","6","4.5","3","0","3","2","0","1","24","21.5"
"RICKARD-Andrew","WEST CHESTER","away","11/20/11","yes","28","3","8",".375","3","7",".429","5","6",".833","3","4","7","5.3","0","0","2","0","0","1","14","19.0"
"RICKARD-Andrew","LAKE ERIE COLLEGE","away","11/27/11","yes","27","2","6",".333","2","3",".667","2","3",".667","0","3","3","4.8","2","0","2","0","0","2","8","16.3"
"RICKARD-Andrew","KUTZTOWN","home","12/03/11","no","20","4","8",".500","3","6",".500","4","4","1.000","2","3","5","4.8","4","0","2","3","0","2","15","16.0"
"RICKARD-Andrew","EAST STROUDSBURG","home","12/04/11","no","30","7","11",".636","5","7",".714","5","5","1.000","0","2","2","4.3","2","0","2","2","0","2","24","17.3"
"RICKARD-Andrew","MANSFIELD UNIVERSITY","away","12/09/11","no","16","5","10",".500","2","4",".500","1","1","1.000","1","2","3","4.1","5","1","0","2","0","2","13","16.7"
"RICKARD-Andrew","BLOOMSBURG","away","12/10/11","no","24","2","8",".250","1","7",".143","3","4",".750","0","1","1","3.8","3","0","2","0","0","1","8","15.6"
"RICKARD-Andrew","BOWIE STATE","home","12/17/11","no","30","5","11",".455","5","9",".556","1","2",".500","3","1","4","3.8","1","0","3","4","0","3","16","15.7"
"RICKARD-Andrew","WASHINGTON ADVENTIST","home","12/18/11","no","25","4","5",".800","0","1",".000","4","4","1.000","0","3","3","3.7","3","0","3","1","0","0","12","15.3"
"RICKARD-Andrew","SHIPPENSBURG","home","01/06/12","no","29","7","13",".538","2","6",".333","5","5","1.000","1","1","2","3.5","2","0","1","1","0","0","21","15.8"
"RICKARD-Andrew","CHEYNEY","home","01/07/12","no","22","3","7",".429","2","5",".400","2","4",".500","0","0","0","3.3","1","0","0","0","0","0","10","15.3"
"RICKARD-Andrew","CLARION","away","01/11/12","no","23","2","7",".286","1","6",".167","0","0",".000","0","1","1","3.1","3","0","1","0","0","0","5","14.5"
"RICKARD-Andrew","SLIPPERY ROCK","home","01/14/12","no","18","1","4",".250","0","1",".000","1","2",".500","0","2","2","3.0","3","0","1","1","0","0","3","13.7"
"RICKARD-Andrew","GANNON","home","01/18/12","no","22","3","13",".231","1","9",".111","0","0",".000","0","2","2","2.9","2","0","2","1","0","0","7","13.3"
"RICKARD-Andrew","INDIANA (PA.)","home","01/21/12","no","23","4","10",".400","3","8",".375","0","0",".000","1","4","5","3.1","1","0","2","0","0","2","11","13.1"
"RICKARD-Andrew","EDINBORO","away","01/25/12","no","18","2","7",".286","2","4",".500","2","2","1.000","0","0","0","2.9","0","0","1","2","1","0","8","12.8"
"RICKARD-Andrew","CALIFORNIA (PA.)","away","01/28/12","no","24","1","5",".200","1","2",".500","6","6","1.000","0","2","2","2.8","1","0","2","1","0","2","9","12.6"
"RICKARD-Andrew","LOCK HAVEN","home","02/01/12","no","20","4","6",".667","2","3",".667","2","2","1.000","0","0","0","2.7","1","0","3","3","0","2","12","12.6"
"RICKARD-Andrew","SLIPPERY ROCK","away","2/4/12","no","12","2","5",".400","1","3",".333","0","1",".000","0","0","0","2.6","2","0","0","0","0","0","5","12.2"
"RICKARD-Andrew","CLARION","home","02/08/12","no","19","7","14",".500","4","10",".400","0","0",".000","0","2","2","2.5","4","0","3","0","0","0","18","12.5"
"RICKARD-Andrew","INDIANA (PA.)","away","02/11/12","no","7","0","3",".000","0","3",".000","0","0",".000","0","1","1","2.5","0","0","0","2","0","1","0","11.9"
"RICKARD-Andrew","GANNON","away","2/15/12","no","15","1","5",".200","1","5",".200","0","0",".000","0","0","0","2.3","0","0","0","1","0","0","3","11.5"
"RICKARD-Andrew","CALIFORNIA (PA.)","home","02/18/12","no","11","1","5",".200","1","5",".200","1","2",".500","0","0","0","2.3","3","0","1","2","0","0","4","11.2"
"RICKARD-Andrew","EDINBORO","home","02/22/12","no","25","4","9",".444","2","7",".286","0","0",".000","0","2","2","2.2","1","0","2","1","0","0","10","11.2"
"RICKARD-Andrew","LOCK HAVEN","away","2/25/12","no","18","2","6",".333","1","4",".250","2","2","1.000","1","3","4","2.3","4","0","0","3","0","1","7","11.0"
"RICKARD-Andrew","SLIPPERY ROCK","home","02/28/12","no","18","1","3",".333","0","1",".000","2","2","1.000","0","1","1","2.3","1","0","2","0","0","1","4","10.7"
"RICKARD-Andrew","EAST STROUDSBURG","neutral","03/02/12","no","16","3","6",".500","1","4",".250","2","2","1.000","1","3","4","2.3","2","0","0","2","1","1","9","10.7"
