"player","Opponent","location","Date","gs","min","fg","fg_att","fg_pct","threes","threes_att","threes_pct","ft","ft_att","ft_pct","off","def","tot","reb_avg","pf","fo","ast","turn_overs","blk","stl","pts","avg"
"DAILEY-Callon","CONCORDM","home","11/9/12","yes","35","3","8",".375","0","1",".000","0","0",".000","2","3","5","5.0","4","0","2","1","0","1","6","6.0"
"DAILEY-Callon","WEST VIRGINIA STATE","home","11/10/12","yes","23","4","6",".667","1","2",".500","1","1","1.000","0","3","3","4.0","3","0","1","0","0","1","10","8.0"
"DAILEY-Callon","SALEM INTERNATIONAL","home","11/20/12","yes","31","3","8",".375","2","4",".500","2","4",".500","1","3","4","4.0","4","0","1","1","0","3","10","8.7"
"DAILEY-Callon","URBANA UNIVERSITY","away","11/25/12","yes","34","3","10",".300","1","5",".200","0","0",".000","0","4","4","4.0","2","0","2","1","1","3","7","8.3"
"DAILEY-Callon","EAST STROUDSBURG","home","12/1/12","no","12","2","3",".667","1","1","1.000","0","0",".000","0","1","1","3.4","5","1","1","2","1","0","5","7.6"
"DAILEY-Callon","KUTZTOWN","home","12/2/12","no","29","1","4",".250","0","3",".000","0","0",".000","2","2","4","3.5","3","0","1","1","0","1","2","6.7"
"DAILEY-Callon","NOTRE DAME COLLEGE","away","12/5/12","no","31","4","10",".400","1","3",".333","0","0",".000","0","4","4","3.6","1","0","2","1","1","1","9","7.0"
"DAILEY-Callon","LOCK HAVEN","home","12/8/12","yes","35","3","8",".375","1","3",".333","0","0",".000","3","2","5","3.8","3","0","2","1","0","1","7","7.0"
"DAILEY-Callon","SHIPPENSBURG","away","12/18/12","yes","34","7","9",".778","2","2","1.000","2","3",".667","0","3","3","3.7","1","0","3","1","0","1","18","8.2"
"DAILEY-Callon","MILLERSVILLE","away","12/19/12","yes","31","1","1","1.000","0","0",".000","0","0",".000","0","2","2","3.5","3","0","2","4","0","1","2","7.6"
"DAILEY-Callon","NOTRE DAME COLLEGE","home","12/30/12","yes","31","4","13",".308","1","4",".250","6","7",".857","0","1","1","3.3","4","0","1","0","0","4","15","8.3"
"DAILEY-Callon","MANSFIELD","home","01/04/13","yes","23","2","8",".250","2","3",".667","0","0",".000","0","1","1","3.1","4","0","0","1","1","0","6","8.1"
"DAILEY-Callon","BLOOMSBURG","home","01/05/13","yes","22","3","5",".600","3","3","1.000","0","0",".000","0","1","1","2.9","3","0","0","2","0","0","9","8.2"
"DAILEY-Callon","WEST CHESTER","away","01/11/13","yes","34","1","9",".111","1","3",".333","0","0",".000","1","1","2","2.9","3","0","3","1","0","2","3","7.8"
"DAILEY-Callon","CHEYNEY","away","1/12/13","yes","36","3","8",".375","1","2",".500","2","2","1.000","1","6","7","3.1","2","0","0","2","0","1","9","7.9"
"DAILEY-Callon","CLARION","home","01/16/13","yes","35","3","8",".375","1","3",".333","3","3","1.000","1","1","2","3.1","2","0","0","1","1","2","10","8.0"
"DAILEY-Callon","SLIPPERY ROCK","away","1/19/13","yes","22","3","7",".429","0","1",".000","3","3","1.000","0","4","4","3.1","4","0","1","1","1","2","9","8.1"
"DAILEY-Callon","GANNON UNIVERSITY","away","1/23/13","yes","40","6","11",".545","3","5",".600","0","0",".000","0","0","0","2.9","2","0","3","1","0","2","15","8.4"
"DAILEY-Callon","INDIANA (PA)","away","01/26/13","yes","38","0","3",".000","0","3",".000","2","2","1.000","2","3","5","3.1","3","0","4","4","1","0","2","8.1"
"DAILEY-Callon","EDINBORO","home","01/30/13","yes","27","3","10",".300","0","4",".000","2","4",".500","3","4","7","3.3","4","0","0","1","0","0","8","8.1"
"DAILEY-Callon","CALIFORNIA","home","02/02/13","yes","41","7","15",".467","0","2",".000","2","2","1.000","1","0","1","3.1","1","0","3","1","0","1","16","8.5"
"DAILEY-Callon","LOCK HAVEN","away","2/6/13","yes","35","1","6",".167","0","3",".000","0","0",".000","0","1","1","3.0","3","0","1","1","1","1","2","8.2"
"DAILEY-Callon","SLIPPERY ROCK","home","02/09/13","yes","26","0","3",".000","0","1",".000","0","0",".000","0","3","3","3.0","5","1","1","1","0","1","0","7.8"
"DAILEY-Callon","CLARION","away","2/13/13","yes","25","2","10",".200","0","0",".000","0","0",".000","2","4","6","3.2","1","0","0","0","0","2","4","7.7"
"DAILEY-Callon","INDIANA (PA)","home","02/16/13","yes","33","5","7",".714","1","1","1.000","1","2",".500","0","3","3","3.2","3","0","3","1","1","3","12","7.8"
"DAILEY-Callon","GANNON UNIVERSITY","home","02/20/13","yes","39","7","12",".583","0","1",".000","0","0",".000","0","1","1","3.1","1","0","0","2","0","3","14","8.1"
"DAILEY-Callon","CALIFORNIA","away","02/23/13","yes","36","4","8",".500","0","2",".000","0","1",".000","2","4","6","3.2","2","0","3","4","1","1","8","8.1"
"DAILEY-Callon","EDINBORO","away","2/27/13","yes","30","7","14",".500","2","5",".400","1","1","1.000","1","3","4","3.2","4","0","2","2","0","1","17","8.4"
"DAILEY-Callon","EDINBORO","away","3/2/13","yes","32","4","9",".444","1","2",".500","2","2","1.000","0","1","1","3.1","3","0","1","1","0","0","11","8.5"
