"player","Opponent","location","Date","gs","min","fg","fg_att","fg_pct","threes","threes_att","threes_pct","ft","ft_att","ft_pct","off","def","tot","reb_avg","pf","fo","ast","turn_overs","blk","stl","pts","avg"
"HOYING-Andy","SHEPHERD","neutral","11/15/13","no","22","3","6",".500","0","0",".000","0","0",".000","3","1","4","4.0","2","0","1","5","2","1","6","6.0"
"HOYING-Andy","ALDERSON BROADDUS","neutral","11/16/13","no","27","2","5",".400","0","1",".000","1","1","1.000","4","2","6","5.0","2","0","2","4","0","0","5","5.5"
"HOYING-Andy","SETON HILL","home","11/20/13","yes","17","0","2",".000","0","0",".000","2","2","1.000","0","1","1","3.7","5","1","0","3","0","0","2","4.3"
"HOYING-Andy","DAEMEN","away","11/23/13","yes","30","5","7",".714","1","2",".500","2","4",".500","3","2","5","4.0","5","1","1","0","0","0","13","6.5"
"HOYING-Andy","URBANA","home","11/30/13","yes","24","1","4",".250","0","1",".000","0","0",".000","1","6","7","4.6","2","0","0","0","0","0","2","5.6"
"HOYING-Andy","CALIFORNIA","home","12/04/13","yes","25","3","5",".600","0","2",".000","0","1",".000","0","4","4","4.5","1","0","1","5","1","0","6","5.7"
"HOYING-Andy","GANNON UNIVERSITY","away","12/7/13","no","28","0","2",".000","0","2",".000","0","0",".000","0","1","1","4.0","1","0","3","0","1","1","0","4.9"
"HOYING-Andy","LOCK HAVEN","home","12/17/13","no","20","2","4",".500","1","1","1.000","0","0",".000","1","5","6","4.3","4","0","0","2","0","0","5","4.9"
"HOYING-Andy","BLOOMSBURG","home","12/18/13","no","22","1","3",".333","0","0",".000","0","0",".000","0","1","1","3.9","2","0","2","1","0","0","2","4.6"
"HOYING-Andy","EAST STROUDSBURG","away","12/21/13","no","20","0","2",".000","0","1",".000","0","0",".000","2","1","3","3.8","4","0","0","0","0","2","0","4.1"
"HOYING-Andy","WEST CHESTER","away","01/03/14","no","26","0","1",".000","0","0",".000","0","1",".000","1","3","4","3.8","2","0","1","2","0","1","0","3.7"
"HOYING-Andy","CHEYNEY","away","01/04/14","no","20","4","7",".571","1","2",".500","2","3",".667","3","6","9","4.3","1","0","0","1","0","0","11","4.3"
"HOYING-Andy","MILLERSVILLE","home","01/08/14","no","25","4","6",".667","1","1","1.000","1","1","1.000","1","3","4","4.2","2","0","1","1","0","0","10","4.8"
"HOYING-Andy","IUP","home","01/11/14","no","22","0","4",".000","0","3",".000","0","0",".000","0","3","3","4.1","1","0","1","1","0","0","0","4.4"
"HOYING-Andy","EDINBORO","home","01/15/14","no","23","1","4",".250","0","2",".000","2","2","1.000","4","5","9","4.5","0","0","1","1","0","1","4","4.4"
"HOYING-Andy","SLIPPERY ROCK","away","01/18/14","no","18","0","1",".000","0","0",".000","0","0",".000","0","1","1","4.3","0","0","0","0","0","0","0","4.1"
"HOYING-Andy","CLARION","home","01/22/14","no","27","3","7",".429","0","0",".000","5","5","1.000","0","5","5","4.3","0","0","0","0","0","1","11","4.5"
"HOYING-Andy","PITT-JOHNSTOWN","away","01/25/14","no","24","8","11",".727","0","2",".000","1","1","1.000","1","0","1","4.1","3","0","0","1","0","1","17","5.2"
"HOYING-Andy","SETON HILL","away","1/29/14","no","24","3","4",".750","2","3",".667","0","0",".000","0","4","4","4.1","0","0","0","1","0","1","8","5.4"
"HOYING-Andy","CALIFORNIA","away","02/05/14","no","22","1","4",".250","0","1",".000","5","6",".833","2","4","6","4.2","1","0","3","0","0","1","7","5.5"
"HOYING-Andy","GANNON UNIVERSITY","home","02/08/14","no","23","1","3",".333","1","2",".500","0","0",".000","0","1","1","4.0","3","0","2","1","0","0","3","5.3"
"HOYING-Andy","SLIPPERY ROCK","home","2/12/14","no","22","3","5",".600","1","2",".500","4","4","1.000","1","1","2","4.0","3","0","2","2","0","2","11","5.6"
"HOYING-Andy","EDINBORO","away","2/15/14","no","25","2","5",".400","0","0",".000","0","0",".000","0","3","3","3.9","2","0","2","0","0","0","4","5.5"
"HOYING-Andy","IUP","away","02/19/14","no","20","3","3","1.000","0","0",".000","0","0",".000","0","1","1","3.8","4","0","3","1","0","0","6","5.5"
"HOYING-Andy","CLARION","away","02/23/14","no","29","3","6",".500","0","1",".000","0","0",".000","1","4","5","3.8","4","0","1","2","0","1","6","5.6"
"HOYING-Andy","PITT-JOHNSTOWN","home","02/26/14","no","24","0","3",".000","0","1",".000","2","4",".500","3","2","5","3.9","2","0","2","0","0","1","2","5.4"
"HOYING-Andy","CALIFORNIA","home","03/01/14","no","20","0","5",".000","0","2",".000","0","0",".000","0","4","4","3.9","2","0","1","0","0","1","0","5.2"
"HOYING-Andy","IUP","away","03/04/14","no","27","5","8",".625","2","3",".667","0","0",".000","1","9","10","4.1","4","0","1","2","0","0","12","5.5"
"HOYING-Andy","EAST STROUDSBURG","away","03/08/14","no","25","1","1","1.000","1","1","1.000","0","0",".000","0","2","2","4.0","1","0","0","3","0","0","3","5.4"
