"player","Opponent","location","Date","gs","min","fg","fg_att","fg_pct","threes","threes_att","threes_pct","ft","ft_att","ft_pct","off","def","tot","reb_avg","pf","fo","ast","turn_overs","blk","stl","pts","avg"
"LYTLE-Anthony","SHEPHERD","neutral","11/15/13","yes","20","0","2",".000","0","0",".000","2","6",".333","3","3","6","6.0","1","0","0","2","1","1","2","2.0"
"LYTLE-Anthony","ALDERSON BROADDUS","neutral","11/16/13","yes","27","4","8",".500","0","0",".000","1","2",".500","3","3","6","6.0","2","0","0","1","0","2","9","5.5"
"LYTLE-Anthony","SETON HILL","home","11/20/13","no","13","6","7",".857","1","1","1.000","4","5",".800","3","0","3","5.0","1","0","0","0","1","0","17","9.3"
"LYTLE-Anthony","CALIFORNIA","home","12/04/13","no","23","4","5",".800","1","1","1.000","2","2","1.000","2","1","3","4.5","2","0","0","1","0","0","11","9.8"
"LYTLE-Anthony","GANNON UNIVERSITY","away","12/7/13","yes","22","6","7",".857","0","0",".000","0","1",".000","2","0","2","4.0","2","0","0","0","0","0","12","10.2"
"LYTLE-Anthony","LOCK HAVEN","home","12/17/13","yes","16","1","6",".167","0","1",".000","0","0",".000","1","0","1","3.5","3","0","1","3","1","2","2","8.8"
"LYTLE-Anthony","BLOOMSBURG","home","12/18/13","yes","26","4","8",".500","0","1",".000","1","1","1.000","2","9","11","4.6","4","0","2","0","0","1","9","8.9"
"LYTLE-Anthony","EAST STROUDSBURG","away","12/21/13","yes","23","2","7",".286","0","0",".000","0","0",".000","1","2","3","4.4","3","0","0","4","1","0","4","8.3"
"LYTLE-Anthony","WEST CHESTER","away","01/03/14","yes","17","5","8",".625","0","0",".000","1","5",".200","0","4","4","4.3","4","0","2","2","0","0","11","8.6"
"LYTLE-Anthony","CHEYNEY","away","01/04/14","yes","26","2","7",".286","0","0",".000","1","2",".500","2","7","9","4.8","0","0","4","3","0","1","5","8.2"
"LYTLE-Anthony","MILLERSVILLE","home","01/08/14","yes","17","5","6",".833","0","0",".000","0","1",".000","1","2","3","4.6","3","0","0","2","1","0","10","8.4"
"LYTLE-Anthony","IUP","home","01/11/14","yes","14","2","6",".333","0","1",".000","0","0",".000","1","2","3","4.5","3","0","0","2","0","0","4","8.0"
"LYTLE-Anthony","EDINBORO","home","01/15/14","yes","28","8","14",".571","0","1",".000","1","5",".200","4","2","6","4.6","1","0","3","2","1","0","17","8.7"
"LYTLE-Anthony","SLIPPERY ROCK","away","01/18/14","yes","16","4","6",".667","1","1","1.000","1","2",".500","0","1","1","4.4","1","0","0","1","0","1","10","8.8"
"LYTLE-Anthony","CLARION","home","01/22/14","yes","28","5","12",".417","0","0",".000","2","2","1.000","1","3","4","4.3","0","0","1","1","1","0","12","9.0"
"LYTLE-Anthony","PITT-JOHNSTOWN","away","01/25/14","yes","24","4","12",".333","0","1",".000","4","6",".667","5","7","12","4.8","3","0","1","1","0","0","12","9.2"
"LYTLE-Anthony","SETON HILL","away","1/29/14","yes","25","3","7",".429","0","2",".000","0","0",".000","1","3","4","4.8","2","0","1","4","0","1","6","9.0"
"LYTLE-Anthony","CALIFORNIA","away","02/05/14","yes","19","2","9",".222","0","1",".000","1","2",".500","1","2","3","4.7","1","0","2","0","1","2","5","8.8"
"LYTLE-Anthony","GANNON UNIVERSITY","home","02/08/14","yes","24","3","6",".500","0","2",".000","0","1",".000","0","1","1","4.5","2","0","1","2","0","1","6","8.6"
"LYTLE-Anthony","SLIPPERY ROCK","home","2/12/14","yes","15","1","5",".200","0","0",".000","1","2",".500","2","0","2","4.4","4","0","0","1","0","0","3","8.4"
"LYTLE-Anthony","EDINBORO","away","2/15/14","yes","27","6","8",".750","0","1",".000","3","6",".500","4","5","9","4.6","1","0","2","4","0","0","15","8.7"
"LYTLE-Anthony","IUP","away","02/19/14","yes","24","3","9",".333","1","1","1.000","4","4","1.000","1","4","5","4.6","4","0","3","3","0","1","11","8.8"
"LYTLE-Anthony","CLARION","away","02/23/14","yes","19","1","5",".200","0","1",".000","0","0",".000","1","3","4","4.6","4","0","1","1","1","0","2","8.5"
"LYTLE-Anthony","PITT-JOHNSTOWN","home","02/26/14","yes","20","4","7",".571","0","0",".000","0","2",".000","1","4","5","4.6","1","0","0","2","0","1","8","8.5"
"LYTLE-Anthony","CALIFORNIA","home","03/01/14","yes","31","7","12",".583","0","0",".000","2","2","1.000","2","5","7","4.7","3","0","0","2","2","0","16","8.8"
"LYTLE-Anthony","IUP","away","03/04/14","yes","20","2","4",".500","0","0",".000","0","0",".000","1","3","4","4.7","4","0","3","4","2","0","4","8.6"
"LYTLE-Anthony","EAST STROUDSBURG","away","03/08/14","yes","14","3","8",".375","0","1",".000","0","2",".000","0","3","3","4.6","3","0","2","0","2","0","6","8.5"
