"player","Opponent","location","Date","gs","min","fg","fg_att","fg_pct","threes","threes_att","threes_pct","ft","ft_att","ft_pct","off","def","tot","reb_avg","pf","fo","ast","turn_overs","blk","stl","pts","avg"
"OUEGNIN-Jonathan","SHEPHERD","neutral","11/15/13","yes","32","9","13",".692","0","2",".000","0","1",".000","3","2","5","5.0","2","0","5","2","1","0","18","18.0"
"OUEGNIN-Jonathan","ALDERSON BROADDUS","neutral","11/16/13","yes","30","4","6",".667","0","1",".000","3","4",".750","2","1","3","4.0","2","0","1","2","1","1","11","14.5"
"OUEGNIN-Jonathan","SETON HILL","home","11/20/13","yes","26","4","8",".500","2","2","1.000","2","2","1.000","0","6","6","4.7","5","1","3","2","0","3","12","13.7"
"OUEGNIN-Jonathan","DAEMEN","away","11/23/13","yes","35","4","9",".444","0","0",".000","0","2",".000","2","6","8","5.5","2","0","7","1","0","2","8","12.3"
"OUEGNIN-Jonathan","URBANA","home","11/30/13","yes","28","3","4",".750","1","1","1.000","2","6",".333","0","4","4","5.2","2","0","1","1","2","2","9","11.6"
"OUEGNIN-Jonathan","CALIFORNIA","home","12/04/13","yes","32","4","5",".800","2","3",".667","9","12",".750","0","6","6","5.3","2","0","6","1","1","1","19","12.8"
"OUEGNIN-Jonathan","GANNON UNIVERSITY","away","12/7/13","yes","33","1","5",".200","0","1",".000","5","6",".833","0","7","7","5.6","1","0","8","4","1","4","7","12.0"
"OUEGNIN-Jonathan","LOCK HAVEN","home","12/17/13","yes","28","4","6",".667","1","3",".333","7","7","1.000","1","6","7","5.8","2","0","1","2","0","1","16","12.5"
"OUEGNIN-Jonathan","EAST STROUDSBURG","away","12/21/13","yes","20","3","6",".500","0","2",".000","2","2","1.000","0","2","2","5.3","5","1","2","2","1","1","8","12.0"
"OUEGNIN-Jonathan","WEST CHESTER","away","01/03/14","yes","30","5","7",".714","2","4",".500","6","8",".750","2","5","7","5.5","3","0","2","6","0","3","18","12.6"
"OUEGNIN-Jonathan","CHEYNEY","away","01/04/14","yes","26","0","1",".000","0","0",".000","4","6",".667","3","5","8","5.7","3","0","3","3","0","0","4","11.8"
"OUEGNIN-Jonathan","MILLERSVILLE","home","01/08/14","yes","30","2","5",".400","0","1",".000","2","2","1.000","1","5","6","5.8","1","0","2","2","1","0","6","11.3"
"OUEGNIN-Jonathan","IUP","home","01/11/14","yes","30","1","3",".333","0","2",".000","0","0",".000","1","2","3","5.5","0","0","2","2","0","1","2","10.6"
"OUEGNIN-Jonathan","EDINBORO","home","01/15/14","yes","31","4","7",".571","0","3",".000","5","7",".714","3","4","7","5.6","3","0","3","0","0","1","13","10.8"
"OUEGNIN-Jonathan","SLIPPERY ROCK","away","01/18/14","yes","30","0","4",".000","0","2",".000","2","2","1.000","0","3","3","5.5","1","0","0","1","1","1","2","10.2"
"OUEGNIN-Jonathan","CLARION","home","01/22/14","yes","27","3","4",".750","0","1",".000","7","9",".778","1","3","4","5.4","3","0","1","0","1","2","13","10.4"
"OUEGNIN-Jonathan","PITT-JOHNSTOWN","away","01/25/14","yes","28","5","6",".833","1","2",".500","1","2",".500","1","3","4","5.3","1","0","4","1","1","4","12","10.5"
"OUEGNIN-Jonathan","SETON HILL","away","1/29/14","yes","31","2","5",".400","0","2",".000","1","2",".500","0","8","8","5.4","1","0","6","2","0","5","5","10.2"
"OUEGNIN-Jonathan","CALIFORNIA","away","02/05/14","yes","32","3","7",".429","1","3",".333","1","1","1.000","0","6","6","5.5","1","0","4","1","1","1","8","10.1"
"OUEGNIN-Jonathan","GANNON UNIVERSITY","home","02/08/14","yes","33","0","1",".000","0","1",".000","2","2","1.000","0","7","7","5.6","2","0","2","2","0","1","2","9.7"
"OUEGNIN-Jonathan","SLIPPERY ROCK","home","2/12/14","yes","24","1","3",".333","0","1",".000","2","4",".500","1","1","2","5.4","3","0","2","2","1","2","4","9.4"
"OUEGNIN-Jonathan","EDINBORO","away","2/15/14","yes","29","3","6",".500","1","2",".500","4","5",".800","0","3","3","5.3","3","0","3","0","1","2","11","9.5"
"OUEGNIN-Jonathan","IUP","away","02/19/14","yes","27","4","7",".571","0","1",".000","0","0",".000","0","5","5","5.3","1","0","3","1","1","1","8","9.4"
"OUEGNIN-Jonathan","CLARION","away","02/23/14","yes","29","1","4",".250","0","1",".000","2","2","1.000","0","1","1","5.1","2","0","1","1","1","1","4","9.2"
"OUEGNIN-Jonathan","PITT-JOHNSTOWN","home","02/26/14","yes","33","5","7",".714","1","3",".333","4","4","1.000","1","3","4","5.0","1","0","4","2","1","1","15","9.4"
"OUEGNIN-Jonathan","CALIFORNIA","home","03/01/14","yes","34","1","3",".333","0","0",".000","0","1",".000","0","7","7","5.1","2","0","5","1","0","3","2","9.1"
"OUEGNIN-Jonathan","IUP","away","03/04/14","yes","29","2","5",".400","0","1",".000","0","2",".000","0","1","1","5.0","2","0","2","2","1","1","4","8.9"
"OUEGNIN-Jonathan","EAST STROUDSBURG","away","03/08/14","yes","22","2","5",".400","1","1","1.000","0","0",".000","1","2","3","4.9","5","1","6","3","0","2","5","8.8"
