"player","Opponent","location","Date","gs","min","fg","fg_att","fg_pct","threes","threes_att","threes_pct","ft","ft_att","ft_pct","off","def","tot","reb_avg","pf","fo","ast","turn_overs","blk","stl","pts","avg"
"SAMUELSON-Beau","SHEPHERD","neutral","11/15/13","no","10","0","2",".000","0","1",".000","0","0",".000","0","1","1","1.0","0","0","1","2","0","0","0","0.0"
"SAMUELSON-Beau","ALDERSON BROADDUS","neutral","11/16/13","no","3","0","1",".000","0","0",".000","0","0",".000","0","0","0","0.5","0","0","0","0","0","1","0","0.0"
"SAMUELSON-Beau","SETON HILL","home","11/20/13","no","5","0","0",".000","0","0",".000","0","0",".000","0","0","0","0.3","2","0","0","2","0","0","0","0.0"
"SAMUELSON-Beau","DAEMEN","away","11/23/13","no","5","0","0",".000","0","0",".000","0","0",".000","0","0","0","0.3","0","0","0","0","0","0","0","0.0"
"SAMUELSON-Beau","URBANA","home","11/30/13","no","15","4","8",".500","4","5",".800","2","3",".667","2","0","2","0.6","1","0","2","1","0","0","14","2.8"
"SAMUELSON-Beau","CALIFORNIA","home","12/04/13","no","1","0","0",".000","0","0",".000","0","0",".000","0","0","0","0.5","0","0","0","1","0","0","0","2.3"
"SAMUELSON-Beau","BLOOMSBURG","home","12/18/13","no","26","2","2","1.000","2","2","1.000","1","2",".500","0","1","1","0.6","0","0","4","1","0","1","7","3.0"
"SAMUELSON-Beau","EAST STROUDSBURG","away","12/21/13","no","10","0","2",".000","0","2",".000","0","0",".000","0","2","2","0.8","1","0","0","3","0","0","0","2.6"
"SAMUELSON-Beau","WEST CHESTER","away","01/03/14","no","14","1","3",".333","1","3",".333","1","2",".500","0","0","0","0.7","0","0","1","3","0","1","4","2.8"
"SAMUELSON-Beau","CHEYNEY","away","01/04/14","no","16","2","4",".500","1","2",".500","0","0",".000","0","0","0","0.6","1","0","3","0","0","0","5","3.0"
"SAMUELSON-Beau","MILLERSVILLE","home","01/08/14","no","8","0","1",".000","0","0",".000","0","0",".000","0","1","1","0.6","3","0","2","1","0","0","0","2.7"
"SAMUELSON-Beau","IUP","home","01/11/14","no","2","0","0",".000","0","0",".000","0","0",".000","0","2","2","0.8","0","0","0","1","0","0","0","2.5"
"SAMUELSON-Beau","EDINBORO","home","01/15/14","no","12","0","2",".000","0","1",".000","0","0",".000","0","0","0","0.7","0","0","1","0","0","0","0","2.3"
"SAMUELSON-Beau","SLIPPERY ROCK","away","01/18/14","no","7","0","1",".000","0","1",".000","0","0",".000","0","0","0","0.6","1","0","2","0","0","0","0","2.1"
"SAMUELSON-Beau","CLARION","home","01/22/14","no","7","0","1",".000","0","1",".000","0","0",".000","0","0","0","0.6","0","0","3","0","0","0","0","2.0"
"SAMUELSON-Beau","PITT-JOHNSTOWN","away","01/25/14","yes","5","0","0",".000","0","0",".000","0","0",".000","0","0","0","0.6","0","0","1","0","0","0","0","1.9"
"SAMUELSON-Beau","SETON HILL","away","1/29/14","no","6","1","2",".500","1","2",".500","0","0",".000","0","0","0","0.5","0","0","1","1","0","0","3","1.9"
"SAMUELSON-Beau","CALIFORNIA","away","02/05/14","no","2","0","2",".000","0","2",".000","0","0",".000","0","1","1","0.6","0","0","0","0","0","0","0","1.8"
"SAMUELSON-Beau","SLIPPERY ROCK","home","2/12/14","no","5","0","0",".000","0","0",".000","0","0",".000","1","0","1","0.6","0","0","1","0","0","0","0","1.7"
"SAMUELSON-Beau","EDINBORO","away","2/15/14","no","5","0","0",".000","0","0",".000","0","0",".000","0","0","0","0.6","1","0","0","0","0","0","0","1.7"
"SAMUELSON-Beau","CLARION","away","02/23/14","no","4","0","0",".000","0","0",".000","2","2","1.000","0","0","0","0.5","0","0","0","0","0","0","2","1.7"
"SAMUELSON-Beau","PITT-JOHNSTOWN","home","02/26/14","no","2","0","0",".000","0","0",".000","0","0",".000","0","0","0","0.5","0","0","0","0","0","0","0","1.6"
"SAMUELSON-Beau","EAST STROUDSBURG","away","03/08/14","no","1","0","0",".000","0","0",".000","0","0",".000","0","0","0","0.5","0","0","0","2","0","0","0","1.5"
