"player","Opponent","location","Date","gs","min","fg","fg_att","fg_pct","threes","threes_att","threes_pct","ft","ft_att","ft_pct","off","def","tot","reb_avg","pf","fo","ast","turn_overs","blk","stl","pts","avg"
"WILLIAMS-Greg","SHEPHERD","neutral","11/15/13","no","28","7","12",".583","3","5",".600","0","0",".000","3","5","8","8.0","1","0","0","1","0","2","17","17.0"
"WILLIAMS-Greg","ALDERSON BROADDUS","neutral","11/16/13","no","12","1","5",".200","1","2",".500","0","0",".000","1","0","1","4.5","1","0","1","1","0","1","3","10.0"
"WILLIAMS-Greg","SETON HILL","home","11/20/13","no","25","2","7",".286","0","2",".000","2","2","1.000","1","2","3","4.0","2","0","2","0","0","0","6","8.7"
"WILLIAMS-Greg","DAEMEN","away","11/23/13","no","10","0","1",".000","0","1",".000","0","0",".000","0","1","1","3.3","0","0","1","0","0","0","0","6.5"
"WILLIAMS-Greg","URBANA","home","11/30/13","no","22","3","5",".600","0","2",".000","0","0",".000","1","2","3","3.2","1","0","0","0","0","0","6","6.4"
"WILLIAMS-Greg","CALIFORNIA","home","12/04/13","no","20","3","6",".500","3","4",".750","0","0",".000","0","3","3","3.2","1","0","0","0","0","0","9","6.8"
"WILLIAMS-Greg","GANNON UNIVERSITY","away","12/7/13","no","23","1","5",".200","1","3",".333","1","2",".500","0","1","1","2.9","0","0","2","0","0","1","4","6.4"
"WILLIAMS-Greg","LOCK HAVEN","home","12/17/13","no","21","1","6",".167","0","3",".000","0","0",".000","0","1","1","2.6","1","0","0","1","0","0","2","5.9"
"WILLIAMS-Greg","BLOOMSBURG","home","12/18/13","no","17","2","3",".667","0","1",".000","0","0",".000","0","1","1","2.4","0","0","0","1","0","2","4","5.7"
"WILLIAMS-Greg","EAST STROUDSBURG","away","12/21/13","no","14","1","3",".333","1","3",".333","0","0",".000","0","3","3","2.5","2","0","0","3","0","0","3","5.4"
"WILLIAMS-Greg","WEST CHESTER","away","01/03/14","no","21","2","7",".286","1","5",".200","4","4","1.000","2","1","3","2.5","1","0","0","0","0","0","9","5.7"
"WILLIAMS-Greg","CHEYNEY","away","01/04/14","no","17","1","3",".333","1","3",".333","0","0",".000","0","0","0","2.3","0","0","0","0","0","1","3","5.5"
"WILLIAMS-Greg","MILLERSVILLE","home","01/08/14","no","18","4","8",".500","1","3",".333","0","0",".000","1","2","3","2.4","2","0","1","0","0","0","9","5.8"
"WILLIAMS-Greg","IUP","home","01/11/14","no","13","2","6",".333","1","4",".250","0","0",".000","1","2","3","2.4","1","0","0","0","0","0","5","5.7"
"WILLIAMS-Greg","EDINBORO","home","01/15/14","no","10","2","6",".333","1","3",".333","0","0",".000","1","2","3","2.5","0","0","0","1","0","0","5","5.7"
"WILLIAMS-Greg","SLIPPERY ROCK","away","01/18/14","no","14","2","5",".400","1","3",".333","0","0",".000","0","1","1","2.4","0","0","1","0","0","0","5","5.6"
"WILLIAMS-Greg","CLARION","home","01/22/14","no","16","1","7",".143","1","4",".250","0","0",".000","1","3","4","2.5","0","0","1","0","0","0","3","5.5"
"WILLIAMS-Greg","PITT-JOHNSTOWN","away","01/25/14","no","11","2","4",".500","2","3",".667","0","0",".000","1","0","1","2.4","0","0","2","1","0","0","6","5.5"
"WILLIAMS-Greg","SETON HILL","away","1/29/14","no","11","1","2",".500","1","2",".500","0","0",".000","0","0","0","2.3","2","0","0","0","0","0","3","5.4"
"WILLIAMS-Greg","CALIFORNIA","away","02/05/14","no","12","2","4",".500","1","2",".500","1","2",".500","0","0","0","2.2","0","0","0","1","0","0","6","5.4"
"WILLIAMS-Greg","GANNON UNIVERSITY","home","02/08/14","no","18","4","6",".667","3","4",".750","3","3","1.000","0","0","0","2.0","1","0","0","2","0","0","14","5.8"
"WILLIAMS-Greg","SLIPPERY ROCK","home","2/12/14","no","6","1","6",".167","0","4",".000","0","0",".000","1","1","2","2.0","0","0","0","0","0","0","2","5.6"
"WILLIAMS-Greg","EDINBORO","away","2/15/14","no","7","0","2",".000","0","1",".000","0","0",".000","0","0","0","2.0","1","0","0","0","0","0","0","5.4"
"WILLIAMS-Greg","IUP","away","02/19/14","no","9","1","2",".500","1","1","1.000","0","0",".000","0","1","1","1.9","0","0","0","1","0","0","3","5.3"
"WILLIAMS-Greg","CLARION","away","02/23/14","no","7","0","3",".000","0","2",".000","0","0",".000","1","0","1","1.9","0","0","0","0","0","0","0","5.1"
"WILLIAMS-Greg","PITT-JOHNSTOWN","home","02/26/14","no","5","0","1",".000","0","1",".000","0","0",".000","0","0","0","1.8","0","0","0","1","0","0","0","4.9"
"WILLIAMS-Greg","CALIFORNIA","home","03/01/14","no","9","1","6",".167","0","2",".000","0","0",".000","1","0","1","1.8","3","0","0","0","0","0","2","4.8"
"WILLIAMS-Greg","IUP","away","03/04/14","no","9","1","1","1.000","1","1","1.000","0","0",".000","0","0","0","1.7","0","0","1","0","0","0","3","4.7"
"WILLIAMS-Greg","EAST STROUDSBURG","away","03/08/14","no","5","0","1",".000","0","1",".000","0","0",".000","0","1","1","1.7","0","0","0","0","0","0","0","4.6"
