"player","Opponent","location","Date","gs","min","fg","fg_att","fg_pct","threes","threes_att","threes_pct","ft","ft_att","ft_pct","off","def","tot","reb_avg","pf","fo","ast","turn_overs","blk","stl","pts","avg","Rdate","Season"
"COHEN-Iddo","vs Philadelphia","neutral","11/19/10","no",9,1,4,0.25,0,0,0,0,0,0,2,2,4,4,4,0,0,0,0,0,2,2,2010-11-19,"2010-2011"
"DUPITON-Olivier","vs Philadelphia","neutral","11/19/10","yes",17,0,1,0,0,0,0,2,2,1,0,1,1,1,4,0,0,0,0,0,2,2,2010-11-19,"2010-2011"
"ELLINGTON-Keith","vs Philadelphia","neutral","11/19/10","no",2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2010-11-19,"2010-2011"
"JACKSON-Shelton","vs Philadelphia","neutral","11/19/10","yes",34,3,6,0.5,1,2,0.5,4,4,1,1,3,4,4,1,0,4,1,1,2,11,11,2010-11-19,"2010-2011"
"LEAO-Luis","vs Philadelphia","neutral","11/19/10","yes",28,5,13,0.385,2,4,0.5,3,4,0.75,3,4,7,7,4,0,2,3,1,1,15,15,2010-11-19,"2010-2011"
"OUEGNIN-Jonathan","vs Philadelphia","neutral","11/19/10","no",10,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2010-11-19,"2010-2011"
"PENN-Joe","vs Philadelphia","neutral","11/19/10","no",5,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,2010-11-19,"2010-2011"
"RATNER-Heiden","vs Philadelphia","neutral","11/19/10","yes",32,8,17,0.471,5,9,0.556,0,2,0,0,0,0,0,1,0,3,1,0,3,21,21,2010-11-19,"2010-2011"
"RICKARD-Andrew","vs Philadelphia","neutral","11/19/10","no",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010-11-19,"2010-2011"
"SNOW-Jason","vs Philadelphia","neutral","11/19/10","no",14,1,3,0.333,0,1,0,0,0,0,0,1,1,1,2,0,3,1,0,0,2,2,2010-11-19,"2010-2011"
"TURNER-Jamal","vs Philadelphia","neutral","11/19/10","yes",23,2,2,1,1,1,1,0,0,0,1,2,3,3,3,0,2,2,0,1,5,5,2010-11-19,"2010-2011"
"WEAVER-Bill","vs Philadelphia","neutral","11/19/10","no",25,7,9,0.778,0,0,0,1,3,0.333,3,2,5,5,1,0,0,0,1,1,15,15,2010-11-19,"2010-2011"
"COHEN-Iddo","vs Nyack","neutral","11/20/10","no",4,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,2010-11-20,"2010-2011"
"DUPITON-Olivier","vs Nyack","neutral","11/20/10","yes",14,1,6,0.167,0,0,0,2,2,1,3,4,7,4,4,0,0,1,0,0,4,3,2010-11-20,"2010-2011"
"JACKSON-Shelton","vs Nyack","neutral","11/20/10","yes",31,3,11,0.273,0,3,0,4,6,0.667,2,3,5,4.5,1,0,0,2,0,0,10,10.5,2010-11-20,"2010-2011"
"LEAO-Luis","vs Nyack","neutral","11/20/10","yes",36,5,11,0.455,1,3,0.333,4,6,0.667,3,8,11,9,1,0,0,5,2,1,15,15,2010-11-20,"2010-2011"
"OUEGNIN-Jonathan","vs Nyack","neutral","11/20/10","no",10,1,2,0.5,0,1,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0,2,1,2010-11-20,"2010-2011"
"PENN-Joe","vs Nyack","neutral","11/20/10","no",2,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2010-11-20,"2010-2011"
"RATNER-Heiden","vs Nyack","neutral","11/20/10","yes",33,7,13,0.538,3,6,0.5,5,5,1,0,6,6,3,3,0,3,2,0,3,22,21.5,2010-11-20,"2010-2011"
"RICKARD-Andrew","vs Nyack","neutral","11/20/10","no",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2010-11-20,"2010-2011"
"SNOW-Jason","vs Nyack","neutral","11/20/10","no",10,0,0,0,0,0,0,0,0,0,1,2,3,2,2,0,1,1,0,1,0,1,2010-11-20,"2010-2011"
