"player","Opponent","location","Date","gs","min","fg","fg_att","fg_pct","threes","threes_att","threes_pct","ft","ft_att","ft_pct","off","def","tot","reb_avg","pf","fo","ast","turn_overs","blk","stl","pts","avg"
"COHEN-Iddo","PHILADELPHIA","neutral","11/19/10","no","9","1","4",".250","0","0",".000","0","0",".000","2","2","4","4.0","4","0","0","0","0","0","2","2.0"
"COHEN-Iddo","NYACK","neutral","11/20/10","no","4","0","1",".000","0","0",".000","0","0",".000","0","0","0","2.0","0","0","0","1","0","0","0","1.0"
"COHEN-Iddo","LAKE ERIE COLLEGE","home","11/27/10","no","5","2","2","1.000","0","0",".000","0","2",".000","0","4","4","2.7","0","0","0","0","1","0","4","2.0"
"COHEN-Iddo","URBANA UNIVERSITY","away","12/02/10","no","9","2","2","1.000","0","0",".000","0","0",".000","0","1","1","2.3","1","0","0","0","1","0","4","2.5"
"COHEN-Iddo","MANSFIELD UNIV.","home","12/6/10","no","12","1","3",".333","0","0",".000","2","4",".500","1","2","3","2.4","2","0","1","2","0","0","4","2.8"
"COHEN-Iddo","DAVIS AND ELKINS","home","12/11/10","no","3","0","1",".000","0","0",".000","0","0",".000","1","0","1","2.2","1","0","0","0","1","0","0","2.3"
"COHEN-Iddo","WASHINGTON ADVENTIST","home","12/12/10","no","6","0","1",".000","0","0",".000","1","2",".500","1","0","1","2.0","0","0","1","0","0","0","1","2.1"
"COHEN-Iddo","URBANA UNIV.","home","12/15/10","no","5","0","1",".000","0","0",".000","0","0",".000","1","1","2","2.0","3","0","1","0","0","0","0","1.9"
"COHEN-Iddo","KUTZTOWN","away","1/3/11","no","12","2","2","1.000","0","0",".000","0","0",".000","2","0","2","2.0","1","0","0","2","0","0","4","2.1"
"COHEN-Iddo","ESU","away","01/04/11","no","2","0","0",".000","0","0",".000","0","0",".000","0","0","0","1.8","4","0","0","0","0","0","0","1.9"
"COHEN-Iddo","MANSFIELD UNIV.","home","01/08/11","no","5","0","0",".000","0","0",".000","0","0",".000","1","0","1","1.7","4","0","0","1","0","0","0","1.7"
"COHEN-Iddo","BLOOMSBURG","home","1/09/11","no","16","2","4",".500","0","0",".000","0","1",".000","1","2","3","1.8","1","0","0","0","1","1","4","1.9"
"COHEN-Iddo","LOCK HAVEN UNIVERSITY","away","1/12/11","no","6","0","1",".000","0","0",".000","0","0",".000","0","0","0","1.7","0","0","0","1","0","0","0","1.8"
"COHEN-Iddo","CALIFORNIA (PA.)","home","01/15/11","no","11","1","2",".500","0","0",".000","0","0",".000","2","4","6","2.0","2","0","0","0","1","0","2","1.8"
"COHEN-Iddo","CLARION","home","1/19/11","no","17","0","4",".000","0","0",".000","0","0",".000","4","1","5","2.2","5","1","0","1","2","0","0","1.7"
"COHEN-Iddo","SLIPPERY ROCK","away","1/22/11","no","10","0","1",".000","0","0",".000","0","0",".000","0","1","1","2.1","1","0","0","0","1","0","0","1.6"
"COHEN-Iddo","GANNON UNIVERSITY","away","1/26/11","no","16","1","2",".500","0","0",".000","0","0",".000","2","0","2","2.1","2","0","0","1","0","0","2","1.6"
"COHEN-Iddo","INDIANA (PA.) UNIV.","home","1/29/11","no","17","0","0",".000","0","0",".000","1","2",".500","0","2","2","2.1","1","0","0","3","1","0","1","1.6"
"COHEN-Iddo","EDINBORO UNIVERSITY","home","02/02/11","no","24","2","4",".500","0","0",".000","0","1",".000","5","3","8","2.4","4","0","0","3","1","0","4","1.7"
"COHEN-Iddo","LOCK HAVEN UNIVERSITY","home","2/5/11","no","5","1","1","1.000","0","0",".000","0","0",".000","1","1","2","2.4","1","0","0","1","0","0","2","1.7"
"COHEN-Iddo","CLARION","away","2/9/11","no","13","1","1","1.000","0","0",".000","0","0",".000","2","0","2","2.4","3","0","0","1","2","0","2","1.7"
"COHEN-Iddo","CALIFORNIA (PA.)","away","02/12/11","no","8","0","0",".000","0","0",".000","0","2",".000","0","0","0","2.3","3","0","0","0","0","0","0","1.6"
"COHEN-Iddo","GANNON UNIVERSITY","home","2/16/11","no","17","1","3",".333","0","0",".000","0","0",".000","1","4","5","2.4","3","0","0","0","1","0","2","1.7"
"COHEN-Iddo","SLIPPERY ROCK","home","02/19/11","yes","10","0","1",".000","0","0",".000","0","0",".000","0","0","0","2.3","3","0","0","0","1","0","0","1.6"
"COHEN-Iddo","EDINBORO","away","02/23/11","no","8","0","1",".000","0","0",".000","0","0",".000","2","1","3","2.3","2","0","0","1","0","0","0","1.5"
"COHEN-Iddo","INDIANA (PA.) UNIV.","away","02/26/11","no","12","0","1",".000","0","0",".000","0","2",".000","3","1","4","2.4","1","0","0","1","1","0","0","1.5"
"COHEN-Iddo","SLIPPERY ROCK","home","03/01/11","yes","21","1","5",".200","0","0",".000","1","2",".500","5","2","7","2.6","3","0","0","4","0","2","3","1.5"
