"player","Opponent","location","Date","gs","min","fg","fg_att","fg_pct","threes","threes_att","threes_pct","ft","ft_att","ft_pct","off","def","tot","reb_avg","pf","fo","ast","turn_overs","blk","stl","pts","avg"
"McLAIN-Pat","URBANA UNIV.","home","12/15/10","no","1","0","0",".000","0","0",".000","0","0",".000","0","1","1","1.0","0","0","0","0","1","0","0","0.0"
"McLAIN-Pat","CLARION","home","1/19/11","no","7","1","2",".500","0","0",".000","0","0",".000","1","2","3","2.0","1","0","0","0","0","0","2","1.0"
"McLAIN-Pat","SLIPPERY ROCK","away","1/22/11","no","8","0","0",".000","0","0",".000","0","0",".000","0","0","0","1.3","1","0","0","2","0","0","0","0.7"
"McLAIN-Pat","GANNON UNIVERSITY","away","1/26/11","no","5","0","1",".000","0","0",".000","0","0",".000","0","0","0","1.0","1","0","0","0","0","0","0","0.5"
"McLAIN-Pat","INDIANA (PA.) UNIV.","home","1/29/11","no","2","0","0",".000","0","0",".000","0","0",".000","0","0","0","0.8","1","0","0","0","0","0","0","0.4"
"McLAIN-Pat","LOCK HAVEN UNIVERSITY","home","2/5/11","no","2","0","1",".000","0","0",".000","0","0",".000","0","0","0","0.7","0","0","0","0","0","0","0","0.3"
"McLAIN-Pat","CALIFORNIA (PA.)","away","02/12/11","no","10","0","1",".000","0","0",".000","0","1",".000","0","2","2","0.9","4","0","0","0","0","0","0","0.3"
"McLAIN-Pat","SLIPPERY ROCK","home","02/19/11","yes","5","0","0",".000","0","0",".000","0","0",".000","0","0","0","0.8","0","0","0","0","0","0","0","0.3"
"McLAIN-Pat","EDINBORO","away","02/23/11","no","13","2","3",".667","0","0",".000","0","0",".000","1","0","1","0.8","2","0","0","0","1","0","4","0.7"
"McLAIN-Pat","INDIANA (PA.) UNIV.","away","02/26/11","no","12","1","1","1.000","0","0",".000","2","2","1.000","0","0","0","0.7","2","0","0","0","0","0","4","1.0"
"McLAIN-Pat","SLIPPERY ROCK","home","03/01/11","no","17","1","3",".333","0","0",".000","0","0",".000","1","1","2","0.8","4","0","0","1","1","0","2","1.1"
