"player","Opponent","location","Date","gs","min","fg","fg_att","fg_pct","threes","threes_att","threes_pct","ft","ft_att","ft_pct","off","def","tot","reb_avg","pf","fo","ast","turn_overs","blk","stl","pts","avg"
"RICKARD-Andrew","PHILADELPHIA","neutral","11/19/10","no","1","0","1",".000","0","0",".000","0","0",".000","0","0","0","0.0","0","0","0","0","0","0","0","0.0"
"RICKARD-Andrew","NYACK","neutral","11/20/10","no","2","0","0",".000","0","0",".000","0","0",".000","0","0","0","0.0","0","0","0","1","0","0","0","0.0"
"RICKARD-Andrew","LAKE ERIE COLLEGE","home","11/27/10","no","13","1","2",".500","1","2",".500","2","2","1.000","1","0","1","0.3","2","0","2","2","0","0","5","1.7"
"RICKARD-Andrew","WASHINGTON ADVENTIST","home","12/12/10","no","5","0","0",".000","0","0",".000","0","0",".000","0","0","0","0.3","1","0","1","0","0","0","0","1.3"
"RICKARD-Andrew","URBANA UNIV.","home","12/15/10","no","1","0","0",".000","0","0",".000","0","0",".000","1","0","1","0.4","0","0","0","1","0","0","0","1.0"
"RICKARD-Andrew","MANSFIELD UNIV.","home","01/08/11","no","4","1","1","1.000","1","1","1.000","0","0",".000","0","0","0","0.3","0","0","0","0","0","0","3","1.3"
"RICKARD-Andrew","BLOOMSBURG","home","1/09/11","no","13","2","3",".667","1","2",".500","2","4",".500","1","2","3","0.7","0","0","1","3","0","0","7","2.1"
"RICKARD-Andrew","LOCK HAVEN UNIVERSITY","away","1/12/11","no","16","1","2",".500","1","2",".500","4","4","1.000","0","3","3","1.0","4","0","1","0","0","1","7","2.8"
"RICKARD-Andrew","CALIFORNIA (PA.)","home","01/15/11","no","20","3","5",".600","1","1","1.000","4","5",".800","0","0","0","0.9","0","0","0","0","0","1","11","3.7"
"RICKARD-Andrew","CLARION","home","1/19/11","no","7","1","4",".250","1","4",".250","0","0",".000","0","0","0","0.8","1","0","0","2","0","0","3","3.6"
"RICKARD-Andrew","SLIPPERY ROCK","away","1/22/11","no","10","1","2",".500","0","0",".000","0","0",".000","0","1","1","0.8","0","0","0","0","0","0","2","3.5"
"RICKARD-Andrew","GANNON UNIVERSITY","away","1/26/11","no","4","1","3",".333","1","2",".500","0","0",".000","0","1","1","0.8","0","0","0","0","0","0","3","3.4"
"RICKARD-Andrew","INDIANA (PA.) UNIV.","home","1/29/11","no","8","1","2",".500","1","2",".500","0","0",".000","0","0","0","0.8","0","0","0","0","0","0","3","3.4"
"RICKARD-Andrew","EDINBORO UNIVERSITY","home","02/02/11","no","4","0","2",".000","0","2",".000","0","0",".000","1","0","1","0.8","1","0","1","0","0","0","0","3.1"
"RICKARD-Andrew","LOCK HAVEN UNIVERSITY","home","2/5/11","no","19","2","5",".400","1","2",".500","2","2","1.000","2","2","4","1.0","1","0","3","1","0","1","7","3.4"
"RICKARD-Andrew","CLARION","away","2/9/11","no","7","0","1",".000","0","1",".000","0","0",".000","0","2","2","1.1","0","0","0","1","0","1","0","3.2"
"RICKARD-Andrew","CALIFORNIA (PA.)","away","02/12/11","no","9","1","1","1.000","1","1","1.000","0","0",".000","0","1","1","1.1","0","0","2","0","0","0","3","3.2"
"RICKARD-Andrew","GANNON UNIVERSITY","home","2/16/11","no","16","2","4",".500","2","3",".667","2","2","1.000","1","3","4","1.2","3","0","3","1","0","0","8","3.4"
"RICKARD-Andrew","SLIPPERY ROCK","home","02/19/11","no","12","0","4",".000","0","2",".000","0","0",".000","0","0","0","1.2","1","0","0","0","0","1","0","3.3"
"RICKARD-Andrew","EDINBORO","away","02/23/11","no","5","1","4",".250","0","2",".000","2","2","1.000","0","0","0","1.1","0","0","0","0","0","0","4","3.3"
"RICKARD-Andrew","INDIANA (PA.) UNIV.","away","02/26/11","no","8","0","0",".000","0","0",".000","0","0",".000","0","1","1","1.1","0","0","0","0","0","0","0","3.1"
"RICKARD-Andrew","SLIPPERY ROCK","home","03/01/11","no","10","0","1",".000","0","0",".000","0","0",".000","0","1","1","1.1","0","0","0","0","0","0","0","3.0"
