"player","Opponent","location","Date","gs","min","fg","fg_att","fg_pct","threes","threes_att","threes_pct","ft","ft_att","ft_pct","off","def","tot","reb_avg","pf","fo","ast","turn_overs","blk","stl","pts","avg"
"SNOW-Jason","PHILADELPHIA","neutral","11/19/10","no","14","1","3",".333","0","1",".000","0","0",".000","0","1","1","1.0","2","0","3","1","0","0","2","2.0"
"SNOW-Jason","NYACK","neutral","11/20/10","no","10","0","0",".000","0","0",".000","0","0",".000","1","2","3","2.0","2","0","1","1","0","1","0","1.0"
"SNOW-Jason","LAKE ERIE COLLEGE","home","11/27/10","no","11","2","3",".667","0","0",".000","0","1",".000","1","4","5","3.0","2","0","2","0","1","0","4","2.0"
"SNOW-Jason","URBANA UNIVERSITY","away","12/02/10","no","16","2","2","1.000","0","0",".000","1","3",".333","2","2","4","3.3","0","0","0","1","0","0","5","2.8"
"SNOW-Jason","MANSFIELD UNIV.","home","12/6/10","no","15","0","1",".000","0","0",".000","0","0",".000","0","2","2","3.0","0","0","1","1","0","0","0","2.2"
"SNOW-Jason","DAVIS AND ELKINS","home","12/11/10","no","19","2","3",".667","1","1","1.000","2","7",".286","3","2","5","3.3","2","0","1","2","0","1","7","3.0"
"SNOW-Jason","WASHINGTON ADVENTIST","home","12/12/10","no","14","1","3",".333","0","0",".000","0","0",".000","4","1","5","3.6","1","0","1","1","0","1","2","2.9"
"SNOW-Jason","URBANA UNIV.","home","12/15/10","no","25","5","8",".625","0","0",".000","1","2",".500","3","3","6","3.9","2","0","1","2","0","0","11","3.9"
"SNOW-Jason","KUTZTOWN","away","1/3/11","no","17","0","2",".000","0","1",".000","2","4",".500","1","2","3","3.8","2","0","0","2","1","2","2","3.7"
"SNOW-Jason","ESU","away","01/04/11","no","22","0","0",".000","0","0",".000","0","0",".000","1","1","2","3.6","3","0","3","3","1","0","0","3.3"
"SNOW-Jason","MANSFIELD UNIV.","home","01/08/11","no","18","0","1",".000","0","0",".000","0","0",".000","0","2","2","3.5","2","0","1","1","0","0","0","3.0"
"SNOW-Jason","BLOOMSBURG","home","1/09/11","no","18","1","1","1.000","0","0",".000","0","0",".000","1","5","6","3.7","2","0","2","1","0","0","2","2.9"
"SNOW-Jason","LOCK HAVEN UNIVERSITY","away","1/12/11","no","18","2","4",".500","0","0",".000","0","2",".000","2","3","5","3.8","3","0","2","0","0","2","4","3.0"
"SNOW-Jason","SLIPPERY ROCK","away","1/22/11","no","17","2","5",".400","0","2",".000","2","2","1.000","0","2","2","3.6","2","0","2","1","0","1","6","3.2"
"SNOW-Jason","GANNON UNIVERSITY","away","1/26/11","no","16","1","2",".500","1","1","1.000","2","3",".667","0","1","1","3.5","2","0","0","0","0","0","5","3.3"
"SNOW-Jason","INDIANA (PA.) UNIV.","home","1/29/11","no","11","2","2","1.000","0","0",".000","0","0",".000","0","0","0","3.3","1","0","0","1","1","0","4","3.4"
"SNOW-Jason","EDINBORO UNIVERSITY","home","02/02/11","no","24","6","7",".857","0","0",".000","0","3",".000","1","0","1","3.1","4","0","3","0","0","2","12","3.9"
"SNOW-Jason","LOCK HAVEN UNIVERSITY","home","2/5/11","no","24","5","5","1.000","0","0",".000","2","2","1.000","1","6","7","3.3","1","0","0","1","0","0","12","4.3"
"SNOW-Jason","CLARION","away","2/9/11","no","22","4","7",".571","0","2",".000","1","2",".500","0","4","4","3.4","2","0","2","1","0","0","9","4.6"
"SNOW-Jason","CALIFORNIA (PA.)","away","02/12/11","yes","33","3","5",".600","0","0",".000","6","10",".600","1","3","4","3.4","2","0","8","4","0","1","12","5.0"
"SNOW-Jason","GANNON UNIVERSITY","home","2/16/11","yes","32","2","3",".667","1","1","1.000","5","12",".417","3","2","5","3.5","2","0","4","0","0","2","10","5.2"
"SNOW-Jason","SLIPPERY ROCK","home","02/19/11","yes","24","1","3",".333","0","1",".000","0","0",".000","1","3","4","3.5","4","0","1","3","0","1","2","5.0"
"SNOW-Jason","EDINBORO","away","02/23/11","no","17","1","4",".250","0","0",".000","0","0",".000","1","1","2","3.4","1","0","4","2","1","0","2","4.9"
"SNOW-Jason","INDIANA (PA.) UNIV.","away","02/26/11","no","11","1","3",".333","0","0",".000","1","3",".333","0","0","0","3.3","2","0","1","2","1","1","3","4.8"
"SNOW-Jason","SLIPPERY ROCK","home","03/01/11","no","23","2","5",".400","0","1",".000","3","4",".750","0","7","7","3.4","3","0","1","2","1","1","7","4.9"
