"player","Opponent","location","Date","gs","min","fg","fg_att","fg_pct","threes","threes_att","threes_pct","ft","ft_att","ft_pct","off","def","tot","reb_avg","pf","fo","ast","turn_overs","blk","stl","pts","avg"
"TURNER-Jamal","PHILADELPHIA","neutral","11/19/10","yes","23","2","2","1.000","1","1","1.000","0","0",".000","1","2","3","3.0","3","0","2","2","0","1","5","5.0"
"TURNER-Jamal","NYACK","neutral","11/20/10","yes","33","0","1",".000","0","0",".000","1","3",".333","0","4","4","3.5","2","0","2","1","0","0","1","3.0"
"TURNER-Jamal","LAKE ERIE COLLEGE","home","11/27/10","yes","27","0","1",".000","0","0",".000","0","0",".000","0","2","2","3.0","2","0","6","6","0","0","0","2.0"
"TURNER-Jamal","URBANA UNIVERSITY","away","12/02/10","yes","33","2","3",".667","0","0",".000","3","4",".750","0","1","1","2.5","0","0","5","1","0","0","7","3.3"
"TURNER-Jamal","MANSFIELD UNIV.","home","12/6/10","yes","26","0","1",".000","0","1",".000","2","2","1.000","0","1","1","2.2","3","0","5","3","0","1","2","3.0"
"TURNER-Jamal","DAVIS AND ELKINS","home","12/11/10","yes","30","1","3",".333","0","0",".000","1","2",".500","1","1","2","2.2","3","0","5","5","0","1","3","3.0"
"TURNER-Jamal","WASHINGTON ADVENTIST","home","12/12/10","yes","29","0","2",".000","0","1",".000","0","0",".000","0","0","0","1.9","3","0","7","1","0","2","0","2.6"
"TURNER-Jamal","URBANA UNIV.","home","12/15/10","yes","26","1","4",".250","0","1",".000","0","0",".000","0","2","2","1.9","2","0","4","2","1","1","2","2.5"
"TURNER-Jamal","KUTZTOWN","away","1/3/11","yes","24","0","2",".000","0","1",".000","2","4",".500","0","3","3","2.0","5","1","1","4","0","2","2","2.4"
"TURNER-Jamal","ESU","away","01/04/11","yes","36","0","2",".000","0","1",".000","2","5",".400","2","5","7","2.5","1","0","9","1","0","3","2","2.4"
"TURNER-Jamal","MANSFIELD UNIV.","home","01/08/11","yes","27","0","1",".000","0","0",".000","0","1",".000","0","1","1","2.4","4","0","7","1","1","0","0","2.2"
"TURNER-Jamal","BLOOMSBURG","home","1/09/11","yes","27","2","3",".667","0","1",".000","3","7",".429","0","2","2","2.3","2","0","3","0","0","0","7","2.6"
"TURNER-Jamal","LOCK HAVEN UNIVERSITY","away","1/12/11","yes","29","1","1","1.000","1","1","1.000","0","0",".000","1","0","1","2.2","1","0","6","0","0","1","3","2.6"
"TURNER-Jamal","CALIFORNIA (PA.)","home","01/15/11","yes","38","0","1",".000","0","0",".000","2","2","1.000","0","4","4","2.4","0","0","8","3","0","0","2","2.6"
"TURNER-Jamal","CLARION","home","1/19/11","yes","35","0","2",".000","0","1",".000","1","2",".500","1","3","4","2.5","4","0","11","1","0","1","1","2.5"
"TURNER-Jamal","SLIPPERY ROCK","away","1/22/11","yes","31","3","6",".500","1","3",".333","1","2",".500","1","2","3","2.5","2","0","6","3","0","4","8","2.8"
"TURNER-Jamal","GANNON UNIVERSITY","away","1/26/11","yes","37","0","3",".000","0","3",".000","1","2",".500","2","3","5","2.6","1","0","7","4","0","5","1","2.7"
"TURNER-Jamal","INDIANA (PA.) UNIV.","home","1/29/11","yes","29","2","5",".400","1","3",".333","2","2","1.000","0","1","1","2.6","2","0","7","2","1","0","7","2.9"
"TURNER-Jamal","EDINBORO UNIVERSITY","home","02/02/11","yes","17","1","2",".500","0","0",".000","2","3",".667","0","3","3","2.6","2","0","7","4","0","1","4","3.0"
"TURNER-Jamal","LOCK HAVEN UNIVERSITY","home","2/5/11","yes","22","0","0",".000","0","0",".000","0","0",".000","0","1","1","2.5","3","0","2","1","0","1","0","2.9"
"TURNER-Jamal","CLARION","away","2/9/11","yes","28","0","4",".000","0","1",".000","0","0",".000","0","2","2","2.5","2","0","7","2","0","0","0","2.7"
"TURNER-Jamal","GANNON UNIVERSITY","home","2/16/11","yes","34","0","5",".000","0","2",".000","1","2",".500","2","1","3","2.5","2","0","8","3","0","0","1","2.6"
"TURNER-Jamal","SLIPPERY ROCK","home","02/19/11","no","26","1","7",".143","1","4",".250","0","0",".000","0","0","0","2.4","3","0","6","3","0","2","3","2.7"
"TURNER-Jamal","EDINBORO","away","02/23/11","yes","27","0","2",".000","0","1",".000","1","4",".250","1","2","3","2.4","4","0","8","1","0","0","1","2.6"
"TURNER-Jamal","INDIANA (PA.) UNIV.","away","02/26/11","yes","35","1","5",".200","1","3",".333","0","1",".000","2","2","4","2.5","0","0","6","2","1","1","3","2.6"
"TURNER-Jamal","SLIPPERY ROCK","home","03/01/11","yes","26","1","6",".167","0","2",".000","0","0",".000","0","4","4","2.5","0","0","4","1","1","1","2","2.6"
