"player","Opponent","location","Date","gs","min","fg","fg_att","fg_pct","threes","threes_att","threes_pct","ft","ft_att","ft_pct","off","def","tot","reb_avg","pf","fo","ast","turn_overs","blk","stl","pts","avg"
"COLEMAN-Steven","KUTZTOWN","home","12/03/11","no","13","2","5",".400","0","2",".000","3","4",".750","0","2","2","2.0","5","1","1","1","0","0","7","7.0"
"COLEMAN-Steven","EAST STROUDSBURG","home","12/04/11","no","8","2","2","1.000","0","0",".000","2","2","1.000","1","0","1","1.5","3","0","1","1","0","0","6","6.5"
"COLEMAN-Steven","MANSFIELD UNIVERSITY","away","12/09/11","no","19","3","7",".429","1","3",".333","3","6",".500","0","2","2","1.7","1","0","2","1","0","3","10","7.7"
"COLEMAN-Steven","BLOOMSBURG","away","12/10/11","no","12","1","4",".250","1","2",".500","2","4",".500","0","0","0","1.3","3","0","2","0","0","1","5","7.0"
"COLEMAN-Steven","BOWIE STATE","home","12/17/11","no","12","1","2",".500","1","1","1.000","2","2","1.000","0","1","1","1.2","5","1","1","1","1","1","5","6.6"
"COLEMAN-Steven","WASHINGTON ADVENTIST","home","12/18/11","no","20","6","9",".667","3","5",".600","0","1",".000","0","3","3","1.5","2","0","4","0","0","1","15","8.0"
"COLEMAN-Steven","SHIPPENSBURG","home","01/06/12","yes","20","4","11",".364","1","5",".200","0","2",".000","0","3","3","1.7","1","0","2","1","0","1","9","8.1"
"COLEMAN-Steven","CHEYNEY","home","01/07/12","yes","21","0","5",".000","0","3",".000","2","4",".500","0","4","4","2.0","1","0","3","0","0","1","2","7.4"
"COLEMAN-Steven","CLARION","away","01/11/12","yes","24","3","10",".300","0","3",".000","0","0",".000","3","4","7","2.6","3","0","4","0","0","0","6","7.2"
"COLEMAN-Steven","SLIPPERY ROCK","home","01/14/12","no","23","5","9",".556","2","3",".667","6","7",".857","2","5","7","3.0","2","0","0","2","0","3","18","8.3"
"COLEMAN-Steven","GANNON","home","01/18/12","no","22","2","8",".250","2","5",".400","4","4","1.000","1","1","2","2.9","3","0","2","3","0","3","10","8.5"
"COLEMAN-Steven","INDIANA (PA.)","home","01/21/12","yes","28","9","10",".900","2","2","1.000","5","9",".556","0","2","2","2.8","2","0","3","3","1","0","25","9.8"
"COLEMAN-Steven","EDINBORO","away","01/25/12","yes","19","0","6",".000","0","1",".000","2","2","1.000","0","8","8","3.2","3","0","5","2","0","1","2","9.2"
"COLEMAN-Steven","CALIFORNIA (PA.)","away","01/28/12","yes","25","2","8",".250","1","4",".250","4","8",".500","2","2","4","3.3","3","0","2","1","0","1","9","9.2"
"COLEMAN-Steven","LOCK HAVEN","home","02/01/12","yes","20","3","8",".375","2","4",".500","0","0",".000","0","2","2","3.2","1","0","5","2","1","1","8","9.1"
"COLEMAN-Steven","SLIPPERY ROCK","away","2/4/12","yes","21","0","5",".000","0","2",".000","0","0",".000","1","2","3","3.2","1","0","4","2","0","1","0","8.6"
"COLEMAN-Steven","CLARION","home","02/08/12","yes","19","2","7",".286","0","4",".000","2","2","1.000","0","4","4","3.2","1","0","3","2","1","1","6","8.4"
"COLEMAN-Steven","INDIANA (PA.)","away","02/11/12","yes","32","4","12",".333","3","10",".300","2","4",".500","1","2","3","3.2","0","0","3","2","0","1","13","8.7"
"COLEMAN-Steven","GANNON","away","2/15/12","yes","30","5","10",".500","2","4",".500","2","4",".500","3","5","8","3.5","1","0","4","5","0","1","14","8.9"
"COLEMAN-Steven","CALIFORNIA (PA.)","home","02/18/12","yes","25","2","7",".286","2","3",".667","2","2","1.000","1","2","3","3.5","5","1","2","1","1","2","8","8.9"
"COLEMAN-Steven","EDINBORO","home","02/22/12","yes","5","3","3","1.000","2","2","1.000","0","0",".000","0","1","1","3.3","1","0","0","1","0","0","8","8.9"
