"player","Opponent","location","Date","gs","min","fg","fg_att","fg_pct","threes","threes_att","threes_pct","ft","ft_att","ft_pct","off","def","tot","reb_avg","pf","fo","ast","turn_overs","blk","stl","pts","avg"
"DAILEY-Callon","URBANA UNIVERSITY","home","11/12/11","no","30","2","5",".400","0","2",".000","0","0",".000","1","1","2","2.0","0","0","0","2","1","1","4","4.0"
"DAILEY-Callon","MILLERSVILLE","away","11/19/11","no","25","4","9",".444","1","2",".500","0","2",".000","2","3","5","3.5","3","0","2","2","0","2","9","6.5"
"DAILEY-Callon","WEST CHESTER","away","11/20/11","no","19","3","4",".750","1","1","1.000","2","2","1.000","1","4","5","4.0","5","1","1","1","0","1","9","7.3"
"DAILEY-Callon","LAKE ERIE COLLEGE","away","11/27/11","no","25","0","5",".000","0","3",".000","0","0",".000","0","2","2","3.5","2","0","2","1","1","2","0","5.5"
"DAILEY-Callon","KUTZTOWN","home","12/03/11","no","31","4","5",".800","1","2",".500","0","0",".000","1","1","2","3.2","2","0","2","1","0","2","9","6.2"
"DAILEY-Callon","EAST STROUDSBURG","home","12/04/11","no","26","3","6",".500","0","2",".000","0","0",".000","0","1","1","2.8","1","0","0","1","0","1","6","6.2"
"DAILEY-Callon","MANSFIELD UNIVERSITY","away","12/09/11","no","24","3","4",".750","2","2","1.000","0","0",".000","1","0","1","2.6","3","0","1","0","0","1","8","6.4"
"DAILEY-Callon","BLOOMSBURG","away","12/10/11","no","26","3","7",".429","2","4",".500","0","0",".000","0","1","1","2.4","2","0","0","0","0","0","8","6.6"
"DAILEY-Callon","BOWIE STATE","home","12/17/11","no","31","3","7",".429","0","2",".000","0","0",".000","0","4","4","2.6","4","0","4","4","1","0","6","6.6"
"DAILEY-Callon","WASHINGTON ADVENTIST","home","12/18/11","no","27","7","9",".778","2","2","1.000","0","0",".000","1","1","2","2.5","1","0","1","0","0","2","16","7.5"
"DAILEY-Callon","SHIPPENSBURG","home","01/06/12","no","28","4","8",".500","0","2",".000","0","0",".000","4","3","7","2.9","2","0","0","0","0","1","8","7.5"
"DAILEY-Callon","CHEYNEY","home","01/07/12","no","25","3","7",".429","0","1",".000","0","0",".000","2","0","2","2.8","3","0","0","0","0","1","6","7.4"
"DAILEY-Callon","CLARION","away","01/11/12","no","25","7","12",".583","2","4",".500","2","2","1.000","2","1","3","2.8","2","0","0","0","0","4","18","8.2"
"DAILEY-Callon","SLIPPERY ROCK","home","01/14/12","yes","31","2","9",".222","1","6",".167","0","0",".000","1","2","3","2.9","0","0","1","0","0","1","5","8.0"
"DAILEY-Callon","EAST STROUDSBURG","neutral","03/02/12","no","14","0","2",".000","0","1",".000","1","2",".500","0","1","1","2.7","2","0","0","1","0","1","1","7.5"
