"player","Opponent","location","Date","gs","min","fg","fg_att","fg_pct","threes","threes_att","threes_pct","ft","ft_att","ft_pct","off","def","tot","reb_avg","pf","fo","ast","turn_overs","blk","stl","pts","avg"
"HEINE-Christian","URBANA UNIVERSITY","home","11/12/11","no","10","0","0",".000","0","0",".000","0","0",".000","1","3","4","4.0","0","0","1","1","0","0","0","0.0"
"HEINE-Christian","MILLERSVILLE","away","11/19/11","no","17","1","1","1.000","1","1","1.000","0","0",".000","0","0","0","2.0","0","0","1","0","0","2","3","1.5"
"HEINE-Christian","WEST CHESTER","away","11/20/11","no","11","0","1",".000","0","0",".000","0","0",".000","0","1","1","1.7","0","0","1","0","0","0","0","1.0"
"HEINE-Christian","LAKE ERIE COLLEGE","away","11/27/11","no","21","4","7",".571","1","3",".333","0","2",".000","2","0","2","1.8","1","0","2","1","0","0","9","3.0"
"HEINE-Christian","KUTZTOWN","home","12/03/11","no","10","0","0",".000","0","0",".000","0","0",".000","0","1","1","1.6","0","0","0","0","0","0","0","2.4"
"HEINE-Christian","EAST STROUDSBURG","home","12/04/11","no","7","0","1",".000","0","1",".000","0","0",".000","2","0","2","1.7","0","0","1","1","0","0","0","2.0"
"HEINE-Christian","MANSFIELD UNIVERSITY","away","12/09/11","no","8","0","2",".000","0","1",".000","0","0",".000","0","3","3","1.9","3","0","3","1","0","1","0","1.7"
"HEINE-Christian","BLOOMSBURG","away","12/10/11","no","5","0","0",".000","0","0",".000","0","0",".000","0","1","1","1.8","0","0","1","0","0","0","0","1.5"
"HEINE-Christian","BOWIE STATE","home","12/17/11","no","10","0","1",".000","0","1",".000","0","0",".000","0","0","0","1.6","0","0","1","0","0","0","0","1.3"
"HEINE-Christian","WASHINGTON ADVENTIST","home","12/18/11","no","4","0","0",".000","0","0",".000","0","0",".000","0","0","0","1.4","1","0","1","1","0","0","0","1.2"
"HEINE-Christian","SHIPPENSBURG","home","01/06/12","no","4","0","1",".000","0","1",".000","0","0",".000","1","0","1","1.4","0","0","0","0","0","1","0","1.1"
"HEINE-Christian","CHEYNEY","home","01/07/12","no","14","0","2",".000","0","2",".000","0","0",".000","0","1","1","1.3","1","0","0","0","0","0","0","1.0"
"HEINE-Christian","CLARION","away","01/11/12","no","5","0","1",".000","0","1",".000","0","0",".000","0","1","1","1.3","0","0","0","0","0","0","0","0.9"
"HEINE-Christian","SLIPPERY ROCK","home","01/14/12","no","10","0","1",".000","0","0",".000","0","0",".000","0","0","0","1.2","2","0","0","1","0","1","0","0.9"
"HEINE-Christian","CALIFORNIA (PA.)","away","01/28/12","no","13","1","2",".500","0","1",".000","0","0",".000","0","0","0","1.1","2","0","0","0","0","0","2","0.9"
"HEINE-Christian","LOCK HAVEN","home","02/01/12","no","19","3","5",".600","0","1",".000","1","2",".500","4","2","6","1.4","2","0","1","4","0","1","7","1.3"
"HEINE-Christian","CLARION","home","02/08/12","no","7","1","3",".333","0","1",".000","0","0",".000","1","0","1","1.4","0","0","0","0","0","1","2","1.4"
"HEINE-Christian","INDIANA (PA.)","away","02/11/12","no","5","0","1",".000","0","0",".000","0","1",".000","1","0","1","1.4","1","0","0","1","0","0","0","1.3"
"HEINE-Christian","EDINBORO","home","02/22/12","no","13","2","2","1.000","0","0",".000","1","2",".500","2","1","3","1.5","0","0","0","0","0","1","5","1.5"
"HEINE-Christian","LOCK HAVEN","away","2/25/12","no","12","1","5",".200","0","2",".000","0","0",".000","1","1","2","1.5","2","0","1","1","0","0","2","1.5"
"HEINE-Christian","SLIPPERY ROCK","home","02/28/12","no","17","2","4",".500","0","0",".000","5","6",".833","1","1","2","1.5","1","0","1","0","0","0","9","1.9"
"HEINE-Christian","EAST STROUDSBURG","neutral","03/02/12","no","21","0","1",".000","0","0",".000","3","3","1.000","0","0","0","1.5","3","0","2","0","0","0","3","1.9"
