"player","Opponent","location","Date","gs","min","fg","fg_att","fg_pct","threes","threes_att","threes_pct","ft","ft_att","ft_pct","off","def","tot","reb_avg","pf","fo","ast","turn_overs","blk","stl","pts","avg"
"OUEGNIN-Jonathan","URBANA UNIVERSITY","home","11/12/11","yes","31","5","11",".455","2","5",".400","2","2","1.000","2","3","5","5.0","1","0","1","2","3","3","14","14.0"
"OUEGNIN-Jonathan","MILLERSVILLE","away","11/19/11","yes","23","1","3",".333","0","1",".000","0","0",".000","0","4","4","4.5","1","0","4","4","0","1","2","8.0"
"OUEGNIN-Jonathan","WEST CHESTER","away","11/20/11","yes","25","2","6",".333","0","1",".000","4","6",".667","0","6","6","5.0","4","0","5","1","1","2","8","8.0"
"OUEGNIN-Jonathan","LAKE ERIE COLLEGE","away","11/27/11","yes","26","3","6",".500","1","2",".500","1","2",".500","2","2","4","4.8","3","0","2","2","2","3","8","8.0"
"OUEGNIN-Jonathan","KUTZTOWN","home","12/03/11","yes","21","2","5",".400","0","2",".000","0","0",".000","1","2","3","4.4","0","0","5","3","0","2","4","7.2"
"OUEGNIN-Jonathan","EAST STROUDSBURG","home","12/04/11","yes","22","0","1",".000","0","1",".000","1","2",".500","1","3","4","4.3","2","0","2","2","1","3","1","6.2"
"OUEGNIN-Jonathan","MANSFIELD UNIVERSITY","away","12/09/11","yes","18","1","3",".333","0","1",".000","0","0",".000","0","2","2","4.0","1","0","0","2","0","1","2","5.6"
"OUEGNIN-Jonathan","BLOOMSBURG","away","12/10/11","yes","19","0","3",".000","0","2",".000","1","2",".500","0","3","3","3.9","3","0","3","1","0","0","1","5.0"
"OUEGNIN-Jonathan","BOWIE STATE","home","12/17/11","yes","21","1","3",".333","0","0",".000","0","0",".000","0","2","2","3.7","5","1","6","2","0","2","2","4.7"
"OUEGNIN-Jonathan","WASHINGTON ADVENTIST","home","12/18/11","yes","24","5","7",".714","2","3",".667","0","1",".000","1","2","3","3.6","2","0","6","4","0","1","12","5.4"
"OUEGNIN-Jonathan","SHIPPENSBURG","home","01/06/12","no","10","0","2",".000","0","2",".000","0","0",".000","1","1","2","3.5","0","0","1","0","1","0","0","4.9"
"OUEGNIN-Jonathan","CHEYNEY","home","01/07/12","no","12","1","2",".500","0","0",".000","1","2",".500","0","2","2","3.3","2","0","1","0","0","1","3","4.8"
"OUEGNIN-Jonathan","CLARION","away","01/11/12","no","9","0","0",".000","0","0",".000","1","4",".250","1","0","1","3.2","1","0","2","0","2","0","1","4.5"
"OUEGNIN-Jonathan","SLIPPERY ROCK","home","01/14/12","yes","20","1","2",".500","0","0",".000","1","2",".500","3","3","6","3.4","2","0","1","2","0","2","3","4.4"
"OUEGNIN-Jonathan","GANNON","home","01/18/12","yes","23","1","3",".333","0","1",".000","0","0",".000","0","3","3","3.3","2","0","1","1","0","2","2","4.2"
"OUEGNIN-Jonathan","INDIANA (PA.)","home","01/21/12","no","16","1","2",".500","0","1",".000","2","2","1.000","0","1","1","3.2","2","0","0","2","1","1","4","4.2"
"OUEGNIN-Jonathan","EDINBORO","away","01/25/12","no","20","5","8",".625","2","3",".667","2","2","1.000","1","3","4","3.2","2","0","1","0","1","2","14","4.8"
"OUEGNIN-Jonathan","CALIFORNIA (PA.)","away","01/28/12","no","16","1","5",".200","0","1",".000","0","0",".000","0","3","3","3.2","1","0","2","0","0","3","2","4.6"
"OUEGNIN-Jonathan","LOCK HAVEN","home","02/01/12","yes","25","3","3","1.000","0","0",".000","2","3",".667","4","4","8","3.5","3","0","4","0","0","1","8","4.8"
"OUEGNIN-Jonathan","SLIPPERY ROCK","away","2/4/12","yes","22","2","4",".500","1","1","1.000","0","0",".000","1","2","3","3.5","2","0","1","1","0","1","5","4.8"
"OUEGNIN-Jonathan","CLARION","home","02/08/12","no","18","4","6",".667","0","1",".000","0","0",".000","1","4","5","3.5","1","0","6","1","0","2","8","5.0"
"OUEGNIN-Jonathan","INDIANA (PA.)","away","02/11/12","no","23","4","8",".500","2","4",".500","1","3",".333","1","4","5","3.6","1","0","0","0","0","1","11","5.2"
"OUEGNIN-Jonathan","GANNON","away","2/15/12","no","19","1","1","1.000","1","1","1.000","2","2","1.000","2","4","6","3.7","4","0","3","2","1","0","5","5.2"
"OUEGNIN-Jonathan","CALIFORNIA (PA.)","home","02/18/12","no","20","0","0",".000","0","0",".000","3","4",".750","0","4","4","3.7","1","0","0","3","0","2","3","5.1"
"OUEGNIN-Jonathan","EDINBORO","home","02/22/12","no","25","1","3",".333","0","0",".000","1","1","1.000","1","7","8","3.9","4","0","3","2","0","1","3","5.0"
"OUEGNIN-Jonathan","LOCK HAVEN","away","2/25/12","yes","17","0","4",".000","0","2",".000","0","0",".000","2","6","8","4.0","5","1","1","1","0","0","0","4.8"
"OUEGNIN-Jonathan","SLIPPERY ROCK","home","02/28/12","yes","28","3","5",".600","0","1",".000","3","4",".750","2","7","9","4.2","3","0","2","2","3","3","9","5.0"
"OUEGNIN-Jonathan","EAST STROUDSBURG","neutral","03/02/12","yes","21","1","4",".250","0","2",".000","0","0",".000","1","4","5","4.3","2","0","2","1","0","1","2","4.9"
