"player","Opponent","location","Date","gs","min","fg","fg_att","fg_pct","threes","threes_att","threes_pct","ft","ft_att","ft_pct","off","def","tot","reb_avg","pf","fo","ast","turn_overs","blk","stl","pts","avg"
"WEAVER-Bill","URBANA UNIVERSITY","home","11/12/11","yes","25","6","16",".375","0","0",".000","4","5",".800","5","2","7","7.0","3","0","1","2","0","1","16","16.0"
"WEAVER-Bill","MILLERSVILLE","away","11/19/11","yes","12","4","4","1.000","0","0",".000","3","4",".750","0","3","3","5.0","5","1","0","0","0","0","11","13.5"
"WEAVER-Bill","WEST CHESTER","away","11/20/11","yes","26","7","14",".500","0","0",".000","7","12",".583","3","2","5","5.0","2","0","1","2","0","4","21","16.0"
"WEAVER-Bill","LAKE ERIE COLLEGE","away","11/27/11","yes","32","3","7",".429","0","0",".000","4","4","1.000","1","2","3","4.5","2","0","0","0","0","1","10","14.5"
"WEAVER-Bill","KUTZTOWN","home","12/03/11","yes","16","3","6",".500","0","0",".000","3","4",".750","3","2","5","4.6","3","0","1","3","0","0","9","13.4"
"WEAVER-Bill","EAST STROUDSBURG","home","12/04/11","yes","21","4","8",".500","0","0",".000","0","0",".000","2","5","7","5.0","2","0","1","1","0","0","8","12.5"
"WEAVER-Bill","MANSFIELD UNIVERSITY","away","12/09/11","yes","28","5","9",".556","0","1",".000","1","1","1.000","0","3","3","4.7","0","0","0","2","1","2","11","12.3"
"WEAVER-Bill","BLOOMSBURG","away","12/10/11","yes","23","1","4",".250","0","0",".000","0","1",".000","2","3","5","4.8","3","0","2","0","0","2","2","11.0"
"WEAVER-Bill","BOWIE STATE","home","12/17/11","yes","14","2","3",".667","0","0",".000","2","4",".500","0","1","1","4.3","2","0","0","1","1","1","6","10.4"
"WEAVER-Bill","WASHINGTON ADVENTIST","home","12/18/11","yes","32","6","11",".545","0","0",".000","5","9",".556","0","2","2","4.1","1","0","3","1","2","2","17","11.1"
"WEAVER-Bill","SHIPPENSBURG","home","01/06/12","yes","28","6","13",".462","0","0",".000","4","4","1.000","7","1","8","4.5","2","0","1","3","1","2","16","11.5"
"WEAVER-Bill","CHEYNEY","home","01/07/12","yes","30","5","9",".556","0","0",".000","12","14",".857","5","4","9","4.8","1","0","1","2","2","2","22","12.4"
"WEAVER-Bill","CLARION","away","01/11/12","yes","35","5","8",".625","0","0",".000","6","7",".857","3","5","8","5.1","5","1","1","4","1","1","16","12.7"
"WEAVER-Bill","SLIPPERY ROCK","home","01/14/12","yes","33","2","9",".222","0","0",".000","1","3",".333","3","6","9","5.4","2","0","0","0","1","0","5","12.1"
"WEAVER-Bill","GANNON","home","01/18/12","yes","32","5","10",".500","0","0",".000","1","2",".500","3","3","6","5.4","4","0","0","2","2","1","11","12.1"
"WEAVER-Bill","INDIANA (PA.)","home","01/21/12","yes","29","4","10",".400","0","0",".000","4","4","1.000","2","3","5","5.4","3","0","1","1","0","0","12","12.1"
"WEAVER-Bill","EDINBORO","away","01/25/12","yes","35","6","8",".750","0","0",".000","0","1",".000","1","3","4","5.3","1","0","0","3","1","0","12","12.1"
"WEAVER-Bill","CALIFORNIA (PA.)","away","01/28/12","yes","37","8","14",".571","0","0",".000","2","2","1.000","3","5","8","5.4","4","0","1","0","0","2","18","12.4"
"WEAVER-Bill","LOCK HAVEN","home","02/01/12","yes","22","6","9",".667","0","0",".000","2","6",".333","2","2","4","5.4","0","0","1","2","0","2","14","12.5"
"WEAVER-Bill","SLIPPERY ROCK","away","2/4/12","yes","36","4","10",".400","0","1",".000","0","0",".000","3","2","5","5.4","1","0","0","1","1","2","8","12.3"
"WEAVER-Bill","CLARION","home","02/08/12","no","21","2","5",".400","0","0",".000","0","0",".000","0","0","0","5.1","2","0","2","0","0","2","4","11.9"
"WEAVER-Bill","INDIANA (PA.)","away","02/11/12","no","29","3","7",".429","0","0",".000","3","3","1.000","1","3","4","5.0","1","0","0","1","0","0","9","11.7"
"WEAVER-Bill","GANNON","away","2/15/12","yes","28","4","7",".571","0","0",".000","2","2","1.000","1","3","4","5.0","4","0","1","5","4","4","10","11.7"
"WEAVER-Bill","CALIFORNIA (PA.)","home","02/18/12","yes","31","4","5",".800","0","0",".000","1","4",".250","2","5","7","5.1","2","0","0","1","3","3","9","11.5"
"WEAVER-Bill","EDINBORO","home","02/22/12","yes","35","3","16",".188","0","0",".000","1","2",".500","6","3","9","5.2","1","0","2","4","2","0","7","11.4"
"WEAVER-Bill","LOCK HAVEN","away","2/25/12","yes","32","6","10",".600","0","0",".000","7","8",".875","3","3","6","5.3","2","0","0","2","5","0","19","11.7"
"WEAVER-Bill","SLIPPERY ROCK","home","02/28/12","yes","25","4","8",".500","0","0",".000","3","6",".500","0","1","1","5.1","1","0","0","1","1","3","11","11.6"
"WEAVER-Bill","EAST STROUDSBURG","neutral","03/02/12","yes","28","3","8",".375","0","0",".000","3","4",".750","1","2","3","5.0","3","0","0","2","0","1","9","11.5"
