"player","Opponent","location","Date","gs","min","fg","fg_att","fg_pct","threes","threes_att","threes_pct","ft","ft_att","ft_pct","off","def","tot","reb_avg","pf","fo","ast","turn_overs","blk","stl","pts","avg"
"HOYING-Andy","CONCORDM","home","11/9/12","yes","37","1","4",".250","0","2",".000","4","5",".800","0","3","3","3.0","1","0","3","1","0","1","6","6.0"
"HOYING-Andy","WEST VIRGINIA STATE","home","11/10/12","no","20","2","4",".500","0","0",".000","1","2",".500","0","8","8","5.5","0","0","1","1","1","0","5","5.5"
"HOYING-Andy","SALEM INTERNATIONAL","home","11/20/12","yes","31","3","9",".333","0","1",".000","2","2","1.000","4","5","9","6.7","1","0","0","2","1","0","8","6.3"
"HOYING-Andy","URBANA UNIVERSITY","away","11/25/12","yes","33","4","7",".571","0","2",".000","0","0",".000","1","4","5","6.3","2","0","1","0","0","1","8","6.8"
"HOYING-Andy","EAST STROUDSBURG","home","12/1/12","no","28","3","5",".600","0","1",".000","0","0",".000","0","1","1","5.2","2","0","1","0","0","0","6","6.6"
"HOYING-Andy","KUTZTOWN","home","12/2/12","no","26","4","6",".667","0","0",".000","0","0",".000","1","4","5","5.2","2","0","1","0","0","0","8","6.8"
"HOYING-Andy","NOTRE DAME COLLEGE","away","12/5/12","no","27","2","6",".333","0","1",".000","4","5",".800","1","4","5","5.1","3","0","2","2","0","1","8","7.0"
"HOYING-Andy","LOCK HAVEN","home","12/8/12","no","23","0","3",".000","0","0",".000","3","4",".750","1","2","3","4.9","2","0","0","0","0","0","3","6.5"
"HOYING-Andy","SHIPPENSBURG","away","12/18/12","no","19","1","4",".250","0","1",".000","0","0",".000","1","3","4","4.8","1","0","0","1","0","0","2","6.0"
"HOYING-Andy","MILLERSVILLE","away","12/19/12","no","20","0","3",".000","0","2",".000","1","2",".500","0","2","2","4.5","1","0","0","1","0","0","1","5.5"
"HOYING-Andy","NOTRE DAME COLLEGE","home","12/30/12","no","27","1","3",".333","0","0",".000","3","4",".750","1","4","5","4.5","3","0","1","2","2","0","5","5.5"
"HOYING-Andy","MANSFIELD","home","01/04/13","no","21","4","4","1.000","3","3","1.000","0","0",".000","5","2","7","4.8","0","0","1","1","0","3","11","5.9"
"HOYING-Andy","BLOOMSBURG","home","01/05/13","no","25","4","7",".571","0","1",".000","1","1","1.000","1","3","4","4.7","1","0","1","0","0","0","9","6.2"
"HOYING-Andy","WEST CHESTER","away","01/11/13","no","22","1","5",".200","0","1",".000","0","0",".000","3","2","5","4.7","1","0","0","2","0","2","2","5.9"
"HOYING-Andy","CHEYNEY","away","1/12/13","no","26","2","3",".667","0","0",".000","3","4",".750","0","5","5","4.7","0","0","0","0","0","1","7","5.9"
"HOYING-Andy","CLARION","home","01/16/13","no","15","1","2",".500","1","1","1.000","2","2","1.000","0","2","2","4.6","1","0","1","0","0","0","5","5.9"
"HOYING-Andy","SLIPPERY ROCK","away","1/19/13","no","20","1","3",".333","0","2",".000","0","0",".000","3","3","6","4.6","3","0","2","0","0","1","2","5.6"
"HOYING-Andy","GANNON UNIVERSITY","away","1/23/13","no","27","2","5",".400","0","2",".000","0","0",".000","0","1","1","4.4","1","0","0","0","0","1","4","5.6"
"HOYING-Andy","INDIANA (PA)","away","01/26/13","no","29","0","3",".000","0","1",".000","0","0",".000","0","3","3","4.4","4","0","0","2","0","2","0","5.3"
"HOYING-Andy","EDINBORO","home","01/30/13","no","26","1","3",".333","0","1",".000","0","0",".000","1","4","5","4.4","3","0","2","0","0","1","2","5.1"
"HOYING-Andy","CALIFORNIA","home","02/02/13","yes","39","2","6",".333","0","2",".000","3","5",".600","3","5","8","4.6","3","0","1","0","0","1","7","5.2"
"HOYING-Andy","LOCK HAVEN","away","2/6/13","no","20","2","2","1.000","1","1","1.000","0","0",".000","2","0","2","4.5","0","0","1","0","0","1","5","5.2"
"HOYING-Andy","SLIPPERY ROCK","home","02/09/13","no","30","3","3","1.000","0","0",".000","1","1","1.000","1","0","1","4.3","1","0","0","0","0","0","7","5.3"
"HOYING-Andy","CLARION","away","2/13/13","no","21","3","6",".500","0","0",".000","1","1","1.000","4","3","7","4.4","3","0","2","1","0","0","7","5.3"
"HOYING-Andy","INDIANA (PA)","home","02/16/13","no","30","1","2",".500","0","0",".000","1","2",".500","1","3","4","4.4","1","0","2","2","0","0","3","5.2"
"HOYING-Andy","GANNON UNIVERSITY","home","02/20/13","no","27","3","7",".429","1","4",".250","2","2","1.000","1","4","5","4.4","2","0","1","0","0","0","9","5.4"
"HOYING-Andy","CALIFORNIA","away","02/23/13","no","29","2","6",".333","0","0",".000","0","0",".000","0","2","2","4.3","0","0","0","2","0","1","4","5.3"
"HOYING-Andy","EDINBORO","away","2/27/13","no","28","2","6",".333","0","4",".000","0","0",".000","2","1","3","4.3","2","0","2","0","0","1","4","5.3"
"HOYING-Andy","EDINBORO","away","3/2/13","no","25","3","5",".600","0","1",".000","3","4",".750","2","3","5","4.3","1","0","2","1","0","1","9","5.4"
