"player","Opponent","location","Date","gs","min","fg","fg_att","fg_pct","threes","threes_att","threes_pct","ft","ft_att","ft_pct","off","def","tot","reb_avg","pf","fo","ast","turn_overs","blk","stl","pts","avg"
"INGRAM-Terrence","CONCORDM","home","11/9/12","no","8","0","0",".000","0","0",".000","0","0",".000","0","0","0","0.0","1","0","0","4","0","1","0","0.0"
"INGRAM-Terrence","WEST VIRGINIA STATE","home","11/10/12","no","27","2","5",".400","2","3",".667","4","6",".667","0","3","3","1.5","1","0","3","2","0","3","10","5.0"
"INGRAM-Terrence","SALEM INTERNATIONAL","home","11/20/12","no","27","3","7",".429","2","4",".500","3","4",".750","0","1","1","1.3","1","0","2","3","0","3","11","7.0"
"INGRAM-Terrence","URBANA UNIVERSITY","away","11/25/12","no","27","2","9",".222","2","8",".250","2","2","1.000","1","1","2","1.5","2","0","4","1","0","1","8","7.3"
"INGRAM-Terrence","EAST STROUDSBURG","home","12/1/12","yes","34","0","7",".000","0","4",".000","0","0",".000","1","2","3","1.8","1","0","2","2","0","2","0","5.8"
"INGRAM-Terrence","KUTZTOWN","home","12/2/12","yes","29","4","7",".571","3","5",".600","6","6","1.000","1","6","7","2.7","3","0","1","0","0","3","17","7.7"
"INGRAM-Terrence","NOTRE DAME COLLEGE","away","12/5/12","yes","34","3","8",".375","2","5",".400","1","2",".500","2","4","6","3.1","1","0","2","1","0","2","9","7.9"
"INGRAM-Terrence","LOCK HAVEN","home","12/8/12","yes","26","3","8",".375","2","6",".333","0","0",".000","1","2","3","3.1","1","0","5","1","0","1","8","7.9"
"INGRAM-Terrence","SHIPPENSBURG","away","12/18/12","yes","29","1","6",".167","0","2",".000","6","8",".750","3","3","6","3.4","2","0","2","0","0","4","8","7.9"
"INGRAM-Terrence","MILLERSVILLE","away","12/19/12","yes","32","3","6",".500","2","2","1.000","1","4",".250","2","6","8","3.9","3","0","1","1","1","0","9","8.0"
"INGRAM-Terrence","NOTRE DAME COLLEGE","home","12/30/12","yes","31","2","11",".182","1","8",".125","0","0",".000","0","3","3","3.8","2","0","5","1","1","1","5","7.7"
"INGRAM-Terrence","MANSFIELD","home","01/04/13","no","16","0","2",".000","0","1",".000","2","3",".667","0","3","3","3.8","2","0","0","0","0","0","2","7.3"
"INGRAM-Terrence","BLOOMSBURG","home","01/05/13","no","24","1","2",".500","1","2",".500","3","3","1.000","0","2","2","3.6","1","0","1","2","0","0","6","7.2"
"INGRAM-Terrence","WEST CHESTER","away","01/11/13","yes","18","0","2",".000","0","2",".000","0","0",".000","0","2","2","3.5","1","0","2","5","0","1","0","6.6"
"INGRAM-Terrence","CHEYNEY","away","1/12/13","yes","11","0","2",".000","0","2",".000","2","2","1.000","0","1","1","3.3","3","1","2","1","0","1","2","6.3"
"INGRAM-Terrence","SLIPPERY ROCK","away","1/19/13","no","22","1","4",".250","1","3",".333","0","2",".000","0","2","2","3.3","2","0","1","1","0","2","3","6.1"
"INGRAM-Terrence","GANNON UNIVERSITY","away","1/23/13","no","16","0","3",".000","0","2",".000","0","0",".000","1","1","2","3.2","1","0","3","1","0","0","0","5.8"
"INGRAM-Terrence","INDIANA (PA)","away","01/26/13","no","24","4","7",".571","2","5",".400","4","4","1.000","1","3","4","3.2","2","0","0","0","0","1","14","6.2"
"INGRAM-Terrence","EDINBORO","home","01/30/13","yes","37","5","11",".455","3","8",".375","1","1","1.000","0","2","2","3.2","2","0","0","3","0","1","14","6.6"
"INGRAM-Terrence","CALIFORNIA","home","02/02/13","no","22","0","1",".000","0","1",".000","0","0",".000","2","2","4","3.2","0","0","0","3","0","1","0","6.3"
"INGRAM-Terrence","LOCK HAVEN","away","2/6/13","no","10","1","4",".250","1","2",".500","0","0",".000","0","0","0","3.0","3","0","0","1","0","0","3","6.1"
"INGRAM-Terrence","SLIPPERY ROCK","home","02/09/13","no","10","0","1",".000","0","0",".000","2","2","1.000","2","1","3","3.0","3","0","0","0","0","0","2","6.0"
"INGRAM-Terrence","CLARION","away","2/13/13","no","14","1","2",".500","1","2",".500","2","4",".500","0","0","0","2.9","0","0","1","0","0","0","5","5.9"
"INGRAM-Terrence","INDIANA (PA)","home","02/16/13","no","23","4","5",".800","3","4",".750","6","6","1.000","1","1","2","2.9","2","0","1","2","0","1","17","6.4"
"INGRAM-Terrence","GANNON UNIVERSITY","home","02/20/13","yes","32","0","3",".000","0","2",".000","5","6",".833","0","0","0","2.8","1","0","0","4","0","2","5","6.3"
"INGRAM-Terrence","CALIFORNIA","away","02/23/13","yes","28","4","10",".400","3","6",".500","1","2",".500","0","3","3","2.8","1","0","0","0","0","4","12","6.5"
"INGRAM-Terrence","EDINBORO","away","2/27/13","yes","27","2","7",".286","1","5",".200","0","0",".000","0","2","2","2.7","2","0","2","0","0","1","5","6.5"
"INGRAM-Terrence","EDINBORO","away","3/2/13","yes","33","4","6",".667","2","2","1.000","4","5",".800","1","4","5","2.8","2","0","3","2","0","2","14","6.8"
