"player","Opponent","location","Date","gs","min","fg","fg_att","fg_pct","threes","threes_att","threes_pct","ft","ft_att","ft_pct","off","def","tot","reb_avg","pf","fo","ast","turn_overs","blk","stl","pts","avg"
"BEINS-Sean","SHEPHERD","neutral","11/15/13","no","8","0","2",".000","0","1",".000","0","2",".000","2","2","4","4.0","3","0","0","3","1","0","0","0.0"
"BEINS-Sean","DAEMEN","away","11/23/13","no","11","3","6",".500","0","0",".000","1","2",".500","2","1","3","3.5","3","0","0","1","0","0","7","3.5"
"BEINS-Sean","URBANA","home","11/30/13","no","10","4","6",".667","0","1",".000","0","0",".000","1","1","2","3.0","0","0","2","0","1","0","8","5.0"
"BEINS-Sean","CALIFORNIA","home","12/04/13","no","3","0","0",".000","0","0",".000","0","0",".000","1","0","1","2.5","0","0","0","0","0","0","0","3.8"
"BEINS-Sean","MILLERSVILLE","home","01/08/14","no","4","2","2","1.000","0","0",".000","0","0",".000","0","2","2","2.4","0","0","0","0","0","0","4","3.8"
"BEINS-Sean","IUP","home","01/11/14","no","6","0","0",".000","0","0",".000","2","2","1.000","1","1","2","2.3","0","0","0","0","0","0","2","3.5"
"BEINS-Sean","EDINBORO","home","01/15/14","no","8","1","3",".333","1","1","1.000","0","0",".000","1","0","1","2.1","1","0","0","0","0","0","3","3.4"
"BEINS-Sean","SLIPPERY ROCK","away","01/18/14","no","8","2","3",".667","0","0",".000","1","2",".500","0","0","0","1.9","4","0","0","0","0","0","5","3.6"
"BEINS-Sean","CLARION","home","01/22/14","no","14","2","3",".667","0","1",".000","2","2","1.000","1","3","4","2.1","4","0","0","1","0","0","6","3.9"
"BEINS-Sean","PITT-JOHNSTOWN","away","01/25/14","no","17","1","2",".500","0","0",".000","5","5","1.000","0","2","2","2.1","3","0","0","0","0","0","7","4.2"
"BEINS-Sean","SETON HILL","away","1/29/14","no","9","2","3",".667","0","0",".000","0","0",".000","0","1","1","2.0","2","0","0","0","0","0","4","4.2"
"BEINS-Sean","CALIFORNIA","away","02/05/14","no","8","0","1",".000","0","1",".000","0","0",".000","0","0","0","1.8","1","0","0","0","0","0","0","3.8"
"BEINS-Sean","GANNON UNIVERSITY","home","02/08/14","no","1","0","0",".000","0","0",".000","0","0",".000","0","0","0","1.7","0","0","0","1","0","0","0","3.5"
"BEINS-Sean","SLIPPERY ROCK","home","2/12/14","no","5","0","1",".000","0","1",".000","0","0",".000","1","1","2","1.7","0","0","0","0","0","0","0","3.3"
"BEINS-Sean","EDINBORO","away","2/15/14","no","6","1","1","1.000","0","0",".000","0","0",".000","1","2","3","1.8","2","0","0","1","0","0","2","3.2"
"BEINS-Sean","IUP","away","02/19/14","no","3","1","1","1.000","0","0",".000","0","0",".000","0","0","0","1.7","2","0","0","0","0","0","2","3.1"
"BEINS-Sean","CLARION","away","02/23/14","no","7","0","1",".000","0","1",".000","0","0",".000","0","3","3","1.8","0","0","1","2","0","0","0","2.9"
"BEINS-Sean","PITT-JOHNSTOWN","home","02/26/14","no","11","2","4",".500","0","0",".000","0","0",".000","0","1","1","1.7","3","0","1","0","1","0","4","3.0"
"BEINS-Sean","CALIFORNIA","home","03/01/14","no","7","1","2",".500","0","0",".000","1","2",".500","1","0","1","1.7","0","0","0","0","0","0","3","3.0"
"BEINS-Sean","IUP","away","03/04/14","no","16","5","6",".833","2","2","1.000","1","1","1.000","0","0","0","1.6","3","0","1","2","0","0","13","3.5"
"BEINS-Sean","EAST STROUDSBURG","away","03/08/14","no","15","3","5",".600","0","1",".000","0","0",".000","0","2","2","1.6","1","0","0","0","2","1","6","3.6"
