"player","Opponent","location","Date","gs","min","fg","fg_att","fg_pct","threes","threes_att","threes_pct","ft","ft_att","ft_pct","off","def","tot","reb_avg","pf","fo","ast","turn_overs","blk","stl","pts","avg"
"BILBO-Paul","SHEPHERD","neutral","11/15/13","yes","9","0","3",".000","0","0",".000","0","0",".000","0","0","0","0.0","3","0","0","2","2","0","0","0.0"
"BILBO-Paul","ALDERSON BROADDUS","neutral","11/16/13","yes","14","1","1","1.000","0","0",".000","0","0",".000","0","1","1","0.5","2","0","0","2","0","0","2","1.0"
"BILBO-Paul","SETON HILL","home","11/20/13","no","14","0","0",".000","0","0",".000","2","6",".333","1","3","4","1.7","5","1","1","1","2","0","2","1.3"
"BILBO-Paul","DAEMEN","away","11/23/13","yes","15","3","10",".300","0","0",".000","2","5",".400","3","3","6","2.8","3","0","0","0","2","0","8","3.0"
"BILBO-Paul","URBANA","home","11/30/13","no","0","0","0",".000","0","0",".000","0","0",".000","1","0","1","2.4","0","0","0","0","0","0","0","2.4"
"BILBO-Paul","CALIFORNIA","home","12/04/13","no","7","1","4",".250","0","0",".000","0","2",".000","2","0","2","2.3","2","0","1","1","0","0","2","2.3"
"BILBO-Paul","GANNON UNIVERSITY","away","12/7/13","no","19","3","3","1.000","0","0",".000","0","0",".000","0","3","3","2.4","1","0","0","0","3","1","6","2.9"
"BILBO-Paul","LOCK HAVEN","home","12/17/13","yes","17","4","9",".444","0","0",".000","2","2","1.000","2","1","3","2.5","3","0","0","0","1","1","10","3.8"
"BILBO-Paul","BLOOMSBURG","home","12/18/13","yes","24","5","8",".625","0","0",".000","3","4",".750","3","10","13","3.7","3","0","0","5","1","3","13","4.8"
"BILBO-Paul","EAST STROUDSBURG","away","12/21/13","yes","21","5","9",".556","0","0",".000","1","4",".250","3","6","9","4.2","1","0","1","0","0","1","11","5.4"
"BILBO-Paul","WEST CHESTER","away","01/03/14","yes","19","3","4",".750","0","0",".000","0","2",".000","2","0","2","4.0","4","0","2","1","1","0","6","5.5"
"BILBO-Paul","CHEYNEY","away","01/04/14","yes","25","3","4",".750","0","0",".000","2","3",".667","1","2","3","3.9","3","0","0","0","0","0","8","5.7"
"BILBO-Paul","MILLERSVILLE","home","01/08/14","yes","11","3","4",".750","0","0",".000","0","1",".000","1","2","3","3.8","3","0","1","1","1","0","6","5.7"
"BILBO-Paul","IUP","home","01/11/14","yes","12","1","3",".333","0","0",".000","0","2",".000","0","0","0","3.6","1","0","0","2","0","0","2","5.4"
"BILBO-Paul","EDINBORO","home","01/15/14","yes","16","2","4",".500","0","0",".000","3","5",".600","1","3","4","3.6","1","0","0","0","1","1","7","5.5"
"BILBO-Paul","SLIPPERY ROCK","away","01/18/14","yes","18","1","4",".250","0","0",".000","0","0",".000","0","0","0","3.4","2","0","0","2","3","0","2","5.3"
"BILBO-Paul","CLARION","home","01/22/14","yes","9","1","2",".500","0","0",".000","0","0",".000","1","2","3","3.4","2","0","0","1","0","0","2","5.1"
"BILBO-Paul","PITT-JOHNSTOWN","away","01/25/14","yes","11","3","7",".429","0","0",".000","0","1",".000","4","3","7","3.6","3","0","1","0","0","0","6","5.2"
"BILBO-Paul","SETON HILL","away","1/29/14","yes","10","0","1",".000","0","0",".000","1","2",".500","1","2","3","3.5","0","0","0","0","0","0","1","4.9"
"BILBO-Paul","CALIFORNIA","away","02/05/14","yes","13","4","7",".571","0","0",".000","1","3",".333","2","1","3","3.5","2","0","0","1","0","0","9","5.2"
"BILBO-Paul","GANNON UNIVERSITY","home","02/08/14","yes","17","3","5",".600","0","0",".000","2","3",".667","2","1","3","3.5","1","0","0","0","0","0","8","5.3"
"BILBO-Paul","SLIPPERY ROCK","home","2/12/14","yes","26","3","6",".500","0","0",".000","6","10",".600","0","4","4","3.5","1","0","0","0","0","0","12","5.6"
"BILBO-Paul","EDINBORO","away","2/15/14","yes","12","3","4",".750","0","0",".000","0","0",".000","0","0","0","3.3","3","0","0","1","0","0","6","5.6"
"BILBO-Paul","IUP","away","02/19/14","yes","16","0","0",".000","0","0",".000","1","2",".500","2","0","2","3.3","3","0","1","3","1","0","1","5.4"
"BILBO-Paul","CLARION","away","02/23/14","yes","9","0","1",".000","0","0",".000","0","0",".000","0","1","1","3.2","3","0","1","3","0","0","0","5.2"
"BILBO-Paul","PITT-JOHNSTOWN","home","02/26/14","yes","16","2","5",".400","0","0",".000","2","6",".333","4","5","9","3.4","0","0","2","4","0","1","6","5.2"
"BILBO-Paul","CALIFORNIA","home","03/01/14","yes","17","2","3",".667","0","0",".000","0","2",".000","0","4","4","3.4","2","0","0","0","1","1","4","5.2"
"BILBO-Paul","IUP","away","03/04/14","yes","6","1","1","1.000","0","0",".000","0","0",".000","1","0","1","3.4","2","0","0","0","0","0","2","5.1"
"BILBO-Paul","EAST STROUDSBURG","away","03/08/14","yes","13","2","4",".500","0","0",".000","0","0",".000","0","1","1","3.3","2","0","0","0","1","0","4","5.0"
