"player","Opponent","location","Date","gs","min","fg","fg_att","fg_pct","threes","threes_att","threes_pct","ft","ft_att","ft_pct","off","def","tot","reb_avg","pf","fo","ast","turn_overs","blk","stl","pts","avg"
"EWING-James","SHEPHERD","neutral","11/15/13","no","20","4","8",".500","0","0",".000","1","2",".500","2","3","5","5.0","0","0","1","1","0","0","9","9.0"
"EWING-James","ALDERSON BROADDUS","neutral","11/16/13","no","22","4","8",".500","0","0",".000","0","2",".000","0","3","3","4.0","2","0","0","2","0","0","8","8.5"
"EWING-James","SETON HILL","home","11/20/13","no","13","0","1",".000","0","0",".000","1","2",".500","0","1","1","3.0","2","0","1","1","0","0","1","6.0"
"EWING-James","DAEMEN","away","11/23/13","no","15","1","6",".167","0","0",".000","4","6",".667","2","2","4","3.3","3","0","3","3","0","1","6","6.0"
"EWING-James","URBANA","home","11/30/13","no","16","4","6",".667","0","0",".000","3","6",".500","2","7","9","4.4","1","0","2","1","1","0","11","7.0"
"EWING-James","CALIFORNIA","home","12/04/13","yes","22","3","7",".429","0","0",".000","0","0",".000","2","1","3","4.2","2","0","0","1","0","0","6","6.8"
"EWING-James","GANNON UNIVERSITY","away","12/7/13","yes","11","2","4",".500","0","0",".000","0","2",".000","1","2","3","4.0","2","0","0","0","0","0","4","6.4"
"EWING-James","LOCK HAVEN","home","12/17/13","no","22","2","5",".400","0","0",".000","0","0",".000","3","1","4","4.0","2","0","1","2","1","1","4","6.1"
"EWING-James","BLOOMSBURG","home","12/18/13","no","5","0","1",".000","0","0",".000","0","0",".000","0","1","1","3.7","4","0","1","1","0","0","0","5.4"
"EWING-James","EAST STROUDSBURG","away","12/21/13","no","13","2","4",".500","0","0",".000","0","0",".000","1","4","5","3.8","2","0","0","0","1","0","4","5.3"
"EWING-James","WEST CHESTER","away","01/03/14","no","18","2","3",".667","0","0",".000","3","6",".500","0","4","4","3.8","3","0","1","1","1","2","7","5.5"
"EWING-James","CHEYNEY","away","01/04/14","no","7","0","0",".000","0","0",".000","1","2",".500","0","0","0","3.5","4","0","1","0","0","0","1","5.1"
"EWING-James","MILLERSVILLE","home","01/08/14","no","17","2","6",".333","0","0",".000","0","0",".000","3","3","6","3.7","1","0","0","3","0","0","4","5.0"
"EWING-James","IUP","home","01/11/14","no","23","3","7",".429","0","0",".000","0","0",".000","0","4","4","3.7","3","0","0","0","1","0","6","5.1"
"EWING-James","EDINBORO","home","01/15/14","no","14","1","3",".333","0","0",".000","0","0",".000","1","3","4","3.7","5","1","0","2","0","1","2","4.9"
"EWING-James","SLIPPERY ROCK","away","01/18/14","no","20","3","6",".500","0","0",".000","3","4",".750","3","5","8","4.0","2","0","0","2","1","0","9","5.1"
"EWING-James","SETON HILL","away","1/29/14","no","12","2","6",".333","0","0",".000","1","1","1.000","2","0","2","3.9","1","0","0","0","0","0","5","5.1"
"EWING-James","CALIFORNIA","away","02/05/14","no","16","3","4",".750","0","0",".000","0","0",".000","0","1","1","3.7","0","0","1","0","0","0","6","5.2"
"EWING-James","GANNON UNIVERSITY","home","02/08/14","no","15","0","0",".000","0","0",".000","2","2","1.000","0","2","2","3.6","2","0","1","2","0","1","2","5.0"
"EWING-James","SLIPPERY ROCK","home","2/12/14","no","12","2","3",".667","0","0",".000","0","0",".000","1","1","2","3.6","2","0","0","1","0","0","4","5.0"
"EWING-James","EDINBORO","away","2/15/14","no","12","2","2","1.000","0","0",".000","0","0",".000","0","2","2","3.5","3","0","0","2","0","2","4","4.9"
"EWING-James","IUP","away","02/19/14","no","16","1","1","1.000","0","0",".000","2","2","1.000","0","2","2","3.4","1","0","1","1","0","1","4","4.9"
"EWING-James","CLARION","away","02/23/14","no","17","2","3",".667","0","0",".000","0","0",".000","2","3","5","3.5","0","0","0","2","0","0","4","4.8"
"EWING-James","PITT-JOHNSTOWN","home","02/26/14","no","8","2","3",".667","0","0",".000","0","4",".000","2","1","3","3.5","4","0","0","1","0","0","4","4.8"
"EWING-James","CALIFORNIA","home","03/01/14","no","8","0","1",".000","0","0",".000","1","2",".500","0","1","1","3.4","3","0","0","1","0","0","1","4.6"
"EWING-James","IUP","away","03/04/14","no","10","0","0",".000","0","0",".000","0","0",".000","1","2","3","3.3","2","0","1","1","0","0","0","4.5"
"EWING-James","EAST STROUDSBURG","away","03/08/14","no","13","5","7",".714","0","0",".000","0","0",".000","1","3","4","3.4","1","0","0","0","0","0","10","4.7"
