"player","Opponent","location","Date","gs","min","fg","fg_att","fg_pct","threes","threes_att","threes_pct","ft","ft_att","ft_pct","off","def","tot","reb_avg","pf","fo","ast","turn_overs","blk","stl","pts","avg"
"HALE-H'ian","SHEPHERD","neutral","11/15/13","yes","11","1","1","1.000","0","0",".000","1","4",".250","1","0","1","1.0","2","0","2","1","1","1","3","3.0"
"HALE-H'ian","ALDERSON BROADDUS","neutral","11/16/13","yes","37","2","6",".333","0","0",".000","5","5","1.000","0","1","1","1.0","2","0","5","2","0","3","9","6.0"
"HALE-H'ian","SETON HILL","home","11/20/13","yes","24","1","3",".333","0","0",".000","6","7",".857","1","2","3","1.7","3","0","0","3","0","6","8","6.7"
"HALE-H'ian","DAEMEN","away","11/23/13","yes","27","2","5",".400","0","1",".000","0","0",".000","2","0","2","1.8","3","0","4","2","0","2","4","6.0"
"HALE-H'ian","URBANA","home","11/30/13","yes","18","1","4",".250","0","1",".000","2","2","1.000","1","1","2","1.8","1","0","2","1","0","1","4","5.6"
"HALE-H'ian","CALIFORNIA","home","12/04/13","yes","25","0","2",".000","0","1",".000","1","2",".500","2","0","2","1.8","4","0","4","1","0","0","1","4.8"
"HALE-H'ian","GANNON UNIVERSITY","away","12/7/13","yes","17","0","1",".000","0","1",".000","0","0",".000","0","0","0","1.6","1","0","0","0","0","1","0","4.1"
"HALE-H'ian","LOCK HAVEN","home","12/17/13","yes","25","0","3",".000","0","2",".000","3","4",".750","0","1","1","1.5","2","0","1","1","0","2","3","4.0"
"HALE-H'ian","BLOOMSBURG","home","12/18/13","yes","17","1","1","1.000","1","1","1.000","4","5",".800","0","0","0","1.3","4","0","1","4","0","0","7","4.3"
"HALE-H'ian","EAST STROUDSBURG","away","12/21/13","yes","23","0","2",".000","0","1",".000","3","4",".750","0","3","3","1.5","2","0","2","1","0","0","3","4.2"
"HALE-H'ian","MILLERSVILLE","home","01/08/14","no","24","2","4",".500","0","0",".000","0","2",".000","1","1","2","1.5","3","0","2","2","0","0","4","4.2"
"HALE-H'ian","IUP","home","01/11/14","yes","18","0","2",".000","0","0",".000","0","0",".000","0","1","1","1.5","0","0","3","2","0","1","0","3.8"
"HALE-H'ian","EDINBORO","home","01/15/14","yes","19","2","3",".667","0","0",".000","1","2",".500","1","1","2","1.5","3","0","1","1","0","2","5","3.9"
"HALE-H'ian","SLIPPERY ROCK","away","01/18/14","yes","18","0","2",".000","0","0",".000","0","0",".000","0","2","2","1.6","3","0","2","2","0","1","0","3.6"
"HALE-H'ian","CLARION","home","01/22/14","yes","21","2","4",".500","0","0",".000","0","0",".000","0","3","3","1.7","1","0","1","0","0","0","4","3.7"
"HALE-H'ian","PITT-JOHNSTOWN","away","01/25/14","no","14","0","1",".000","0","0",".000","0","0",".000","0","0","0","1.6","1","0","2","1","0","1","0","3.4"
"HALE-H'ian","SETON HILL","away","1/29/14","no","9","2","2","1.000","0","0",".000","0","0",".000","0","1","1","1.5","0","0","3","2","0","0","4","3.5"
"HALE-H'ian","CALIFORNIA","away","02/05/14","no","9","0","0",".000","0","0",".000","0","0",".000","1","1","2","1.6","2","0","0","0","0","0","0","3.3"
"HALE-H'ian","GANNON UNIVERSITY","home","02/08/14","no","9","0","0",".000","0","0",".000","1","2",".500","0","0","0","1.5","0","0","0","1","0","1","1","3.2"
"HALE-H'ian","SLIPPERY ROCK","home","2/12/14","no","17","0","0",".000","0","0",".000","0","2",".000","0","2","2","1.5","1","0","0","1","0","2","0","3.0"
"HALE-H'ian","EDINBORO","away","2/15/14","no","8","0","0",".000","0","0",".000","2","2","1.000","0","0","0","1.4","0","0","0","0","0","0","2","3.0"
"HALE-H'ian","IUP","away","02/19/14","no","19","2","4",".500","0","0",".000","3","3","1.000","0","1","1","1.4","3","0","1","0","0","0","7","3.1"
"HALE-H'ian","CLARION","away","02/23/14","no","10","0","1",".000","0","0",".000","0","0",".000","0","1","1","1.4","0","0","2","1","0","0","0","3.0"
"HALE-H'ian","PITT-JOHNSTOWN","home","02/26/14","no","12","1","2",".500","0","0",".000","4","4","1.000","0","2","2","1.4","1","0","0","1","0","1","6","3.1"
"HALE-H'ian","CALIFORNIA","home","03/01/14","no","7","0","0",".000","0","0",".000","0","0",".000","0","0","0","1.4","1","0","1","0","0","1","0","3.0"
"HALE-H'ian","IUP","away","03/04/14","no","12","0","1",".000","0","1",".000","5","6",".833","0","1","1","1.3","1","0","0","0","0","1","5","3.1"
"HALE-H'ian","EAST STROUDSBURG","away","03/08/14","no","21","1","2",".500","0","1",".000","0","0",".000","0","2","2","1.4","3","0","5","5","0","1","2","3.0"
