"player","Opponent","location","Date","gs","min","fg","fg_att","fg_pct","threes","threes_att","threes_pct","ft","ft_att","ft_pct","off","def","tot","reb_avg","pf","fo","ast","turn_overs","blk","stl","pts","avg"
"ONANA-Jean","SHEPHERD","neutral","11/15/13","no","3","0","0",".000","0","0",".000","1","2",".500","0","1","1","1.0","1","0","0","0","0","1","1","1.0"
"ONANA-Jean","ALDERSON BROADDUS","neutral","11/16/13","no","15","1","3",".333","1","1","1.000","0","0",".000","0","0","0","0.5","1","0","1","1","0","1","3","2.0"
"ONANA-Jean","SETON HILL","home","11/20/13","yes","33","9","14",".643","4","5",".800","7","9",".778","1","0","1","0.7","1","0","0","2","0","3","29","11.0"
"ONANA-Jean","DAEMEN","away","11/23/13","yes","33","4","15",".267","3","7",".429","0","0",".000","2","1","3","1.3","4","0","0","3","0","4","11","11.0"
"ONANA-Jean","URBANA","home","11/30/13","yes","30","3","9",".333","2","6",".333","0","1",".000","0","4","4","1.8","1","0","1","2","0","0","8","10.4"
"ONANA-Jean","CALIFORNIA","home","12/04/13","no","18","0","3",".000","0","0",".000","0","0",".000","0","0","0","1.5","2","0","0","1","0","1","0","8.7"
"ONANA-Jean","GANNON UNIVERSITY","away","12/7/13","no","24","5","9",".556","3","6",".500","4","4","1.000","0","2","2","1.6","3","0","0","4","0","1","17","9.9"
"ONANA-Jean","LOCK HAVEN","home","12/17/13","no","19","3","7",".429","2","4",".500","1","1","1.000","2","0","2","1.6","1","0","0","1","0","1","9","9.8"
"ONANA-Jean","BLOOMSBURG","home","12/18/13","yes","26","4","9",".444","2","5",".400","0","0",".000","0","1","1","1.6","3","0","0","5","0","2","10","9.8"
"ONANA-Jean","EAST STROUDSBURG","away","12/21/13","no","24","6","17",".353","1","8",".125","2","2","1.000","2","1","3","1.7","3","0","1","1","0","2","15","10.3"
"ONANA-Jean","WEST CHESTER","away","01/03/14","yes","26","2","6",".333","0","3",".000","1","2",".500","0","2","2","1.7","4","0","2","3","0","2","5","9.8"
"ONANA-Jean","CHEYNEY","away","01/04/14","yes","27","3","8",".375","1","4",".250","3","4",".750","0","2","2","1.8","0","0","2","4","0","0","10","9.8"
"ONANA-Jean","MILLERSVILLE","home","01/08/14","yes","8","1","3",".333","1","3",".333","0","0",".000","0","1","1","1.7","2","0","1","2","0","0","3","9.3"
"ONANA-Jean","IUP","home","01/11/14","no","24","3","9",".333","0","3",".000","3","4",".750","1","2","3","1.8","2","0","2","1","0","1","9","9.3"
"ONANA-Jean","EDINBORO","home","01/15/14","no","28","5","12",".417","4","10",".400","1","2",".500","0","0","0","1.7","4","0","0","1","0","2","15","9.7"
"ONANA-Jean","SLIPPERY ROCK","away","01/18/14","no","15","3","5",".600","0","0",".000","0","0",".000","1","0","1","1.6","2","0","0","1","0","0","6","9.4"
"ONANA-Jean","CLARION","home","01/22/14","no","21","2","7",".286","0","3",".000","0","0",".000","0","3","3","1.7","0","0","1","2","0","1","4","9.1"
"ONANA-Jean","PITT-JOHNSTOWN","away","01/25/14","no","25","5","11",".455","1","5",".200","0","0",".000","0","1","1","1.7","2","0","1","1","0","1","11","9.2"
"ONANA-Jean","SETON HILL","away","1/29/14","yes","27","3","7",".429","0","1",".000","0","0",".000","0","0","0","1.6","2","0","2","2","1","0","6","9.1"
"ONANA-Jean","CALIFORNIA","away","02/05/14","yes","33","5","11",".455","4","10",".400","0","0",".000","1","0","1","1.6","3","0","3","0","0","2","14","9.3"
"ONANA-Jean","GANNON UNIVERSITY","home","02/08/14","yes","29","4","10",".400","2","5",".400","4","5",".800","2","0","2","1.6","0","0","2","3","0","0","14","9.5"
"ONANA-Jean","SLIPPERY ROCK","home","2/12/14","yes","29","5","11",".455","3","5",".600","0","0",".000","2","2","4","1.7","1","0","1","0","0","0","13","9.7"
"ONANA-Jean","EDINBORO","away","2/15/14","yes","19","3","10",".300","1","2",".500","0","0",".000","0","3","3","1.7","2","0","1","1","0","0","7","9.6"
"ONANA-Jean","IUP","away","02/19/14","yes","29","5","9",".556","1","3",".333","2","2","1.000","1","0","1","1.7","0","0","2","4","1","3","13","9.7"
"ONANA-Jean","CLARION","away","02/23/14","yes","32","8","11",".727","2","4",".500","4","4","1.000","1","6","7","1.9","0","0","0","3","0","0","22","10.2"
"ONANA-Jean","PITT-JOHNSTOWN","home","02/26/14","no","18","4","7",".571","2","4",".500","2","3",".667","0","0","0","1.8","4","0","0","3","0","1","12","10.3"
"ONANA-Jean","CALIFORNIA","home","03/01/14","yes","29","6","12",".500","2","3",".667","5","7",".714","2","2","4","1.9","1","0","0","1","0","1","19","10.6"
"ONANA-Jean","IUP","away","03/04/14","yes","33","4","15",".267","2","5",".400","6","7",".857","2","3","5","2.0","2","0","1","3","0","0","16","10.8"
"ONANA-Jean","EAST STROUDSBURG","away","03/08/14","yes","29","4","9",".444","0","2",".000","2","3",".667","2","6","8","2.2","2","0","0","6","0","0","10","10.8"
