"Opponent","location","Date","gs","min","fg-fga","pct","3fg-fga","pct.1","ft-fta","pct.2","off","def","tot","avg","pf","fo","ast","t/o","blk","stl","pts","avg.1"
"PHILADELPHIA","neutral","11/19/10","*","32","8-17",".471","5-9",".556","0-2",".000","0","0","0","0.0","1","0","3","1","0","3","21","21.0"
"NYACK","neutral","11/20/10","*","33","7-13",".538","3-6",".500","5-5","1.000","0","6","6","3.0","3","0","3","2","0","3","22","21.5"
"LAKE ERIE COLLEGE","home","11/27/10","*","26","9-16",".563","4-7",".571","2-2","1.000","1","2","3","3.0","1","0","2","2","0","1","24","22.3"
"URBANA UNIVERSITY","away","12/02/10","*","36","6-13",".462","0-5",".000","0-0",".000","0","2","2","2.8","2","0","7","2","1","0","12","19.8"
"MANSFIELD UNIV.","home","12/6/10","*","31","5-16",".313","3-8",".375","9-9","1.000","1","3","4","3.0","4","0","3","1","0","0","22","20.2"
"DAVIS AND ELKINS","home","12/11/10","*","39","7-16",".438","6-13",".462","5-6",".833","1","4","5","3.3","2","0","5","2","0","0","25","21.0"
"WASHINGTON ADVENTIST","home","12/12/10","*","37","6-13",".462","4-10",".400","7-9",".778","1","1","2","3.1","1","0","1","2","0","2","23","21.3"
"URBANA UNIV.","home","12/15/10","*","33","10-18",".556","4-8",".500","2-2","1.000","1","3","4","3.3","2","0","2","0","0","0","26","21.9"
"KUTZTOWN","away","1/3/11","*","30","4-14",".286","2-11",".182","5-6",".833","0","2","2","3.1","1","0","3","1","0","2","15","21.1"
"ESU","away","01/04/11","*","40","8-19",".421","3-9",".333","6-9",".667","0","0","0","2.8","4","0","3","4","0","3","25","21.5"
"MANSFIELD UNIV.","home","01/08/11","*","34","9-18",".500","4-10",".400","5-8",".625","0","0","0","2.5","2","0","1","2","0","1","27","22.0"
"BLOOMSBURG","home","1/09/11","*","35","11-18",".611","5-10",".500","4-4","1.000","1","2","3","2.6","2","0","2","3","0","0","31","22.8"
"LOCK HAVEN UNIVERSITY","away","1/12/11","*","25","7-16",".438","3-7",".429","4-4","1.000","1","3","4","2.7","2","0","2","1","0","1","21","22.6"
"CALIFORNIA (PA.)","home","01/15/11","*","23","8-16",".500","2-5",".400","4-4","1.000","2","3","5","2.9","1","0","2","1","0","0","22","22.6"
"CLARION","home","1/19/11","*","39","11-24",".458","7-16",".438","5-5","1.000","0","6","6","3.1","1","0","2","2","0","1","34","23.3"
"SLIPPERY ROCK","away","1/22/11","*","32","8-16",".500","3-6",".500","0-0",".000","2","4","6","3.3","1","0","0","2","0","1","19","23.1"
"GANNON UNIVERSITY","away","1/26/11","*","38","7-19",".368","3-12",".250","0-0",".000","0","4","4","3.3","1","0","1","3","1","2","17","22.7"
"INDIANA (PA.) UNIV.","home","1/29/11","*","35","2-10",".200","0-4",".000","4-4","1.000","1","3","4","3.3","1","0","3","3","0","1","8","21.9"
"EDINBORO UNIVERSITY","home","02/02/11","*","36","4-12",".333","2-8",".250","1-2",".500","2","1","3","3.3","1","0","3","2","0","1","11","21.3"
"LOCK HAVEN UNIVERSITY","home","2/5/11","*","26","4-10",".400","2-6",".333","1-1","1.000","0","3","3","3.3","1","0","2","2","0","2","11","20.8"
"CLARION","away","2/9/11","*","36","4-12",".333","3-9",".333","0-0",".000","1","4","5","3.4","1","0","1","3","0","1","11","20.3"
"CALIFORNIA (PA.)","away","02/12/11","*","34","4-9",".444","1-4",".250","8-9",".889","1","2","3","3.4","4","0","3","2","0","1","17","20.2"
"GANNON UNIVERSITY","home","2/16/11","*","34","6-20",".300","2-12",".167","0-0",".000","0","3","3","3.3","3","0","0","0","0","1","14","19.9"
"SLIPPERY ROCK","home","02/19/11","*","34","4-13",".308","3-7",".429","6-7",".857","0","3","3","3.3","5","1","4","1","0","1","17","19.8"
"EDINBORO","away","02/23/11","*","36","7-14",".500","5-8",".625","11-14",".786","0","4","4","3.4","2","0","1","1","0","0","30","20.2"
"INDIANA (PA.) UNIV.","away","02/26/11","*","33","3-17",".176","1-8",".125","2-3",".667","1","3","4","3.4","1","0","1","2","0","2","9","19.8"
"SLIPPERY ROCK","home","03/01/11","*","35","5-15",".333","1-6",".167","5-5","1.000","1","5","6","3.5","2","0","2","2","0","1","16","19.6"
